Instance....: instances/I_100_20_S_1-9_6.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |      574 |      574 |       0.00 | s0
    |        0 |        - |      572 |      572 |       0.01 | *
    |        4 |        - |      522 |      522 |       0.03 | *
    |        5 |        - |      512 |      512 |       0.03 | *
    |       26 |        - |      499 |      499 |       0.03 | *
    |       27 |        - |      496 |      496 |       0.03 | *
    |       28 |        - |      493 |      493 |       0.03 | *
    |       29 |        - |      484 |      484 |       0.04 | *
    |       30 |        - |      469 |      469 |       0.04 | *
    |       31 |        - |      468 |      468 |       0.04 | *
    |       42 |        - |      444 |      444 |       0.04 | *
    |       50 |        - |      435 |      435 |       0.04 | *
    |       56 |        - |      430 |      430 |       0.04 | *
    |       59 |        - |      421 |      421 |       0.05 | *
    |       61 |        - |      400 |      400 |       0.05 | *
    |       86 |        - |      389 |      389 |       0.05 | *
    |       90 |        - |      372 |      372 |       0.05 | *
    |       92 |        - |      364 |      364 |       0.05 | *
    |       99 |        - |      360 |      360 |       0.05 | *
    |      100 |        - |      356 |      356 |       0.05 | *
    |      104 |        - |      346 |      346 |       0.05 | *
    |      105 |        - |      344 |      344 |       0.05 | *
    |      109 |        - |      343 |      343 |       0.06 | *
    |      111 |        - |      337 |      337 |       0.06 | *
    |      114 |        - |      336 |      336 |       0.06 | *
    |      116 |        - |      331 |      331 |       0.06 | *
    |      117 |        - |      327 |      327 |       0.06 | *
    |      119 |        - |      326 |      326 |       0.06 | *
    |      123 |        - |      325 |      325 |       0.06 | *
    |      126 |        - |      319 |      319 |       0.06 | *
    |      130 |        - |      317 |      317 |       0.06 | *
    |      131 |        - |      311 |      311 |       0.06 | *
    |      134 |        - |      310 |      310 |       0.06 | *
    |      143 |        - |      309 |      309 |       0.06 | *
    |      145 |        - |      307 |      307 |       0.07 | *
    |      165 |        - |      305 |      305 |       0.07 | *
    |      166 |        - |      291 |      291 |       0.07 | *
    |      168 |        - |      287 |      287 |       0.07 | *
    |      173 |        - |      286 |      286 |       0.07 | *
    |      175 |        - |      285 |      285 |       0.07 | *
    |      184 |        - |      279 |      279 |       0.07 | *
    |      190 |        - |      278 |      278 |       0.07 | *
    |      194 |        - |      277 |      277 |       0.07 | *
    |      206 |        - |      276 |      276 |       0.07 | *
    |      213 |        - |      275 |      275 |       0.07 | *
    |      222 |        - |      274 |      274 |       0.07 | *
    |      223 |        - |      273 |      273 |       0.08 | *
    |      233 |        - |      272 |      272 |       0.08 | *
    |      242 |        - |      271 |      271 |       0.08 | *
    |      244 |        - |      269 |      269 |       0.08 | *
    |      246 |        - |      268 |      268 |       0.08 | *
    |      253 |        - |      262 |      262 |       0.08 | *
    |      269 |        - |      258 |      258 |       0.08 | *
    |      272 |        - |      257 |      257 |       0.08 | *
    |      277 |        - |      254 |      254 |       0.08 | *
    |      279 |        - |      253 |      253 |       0.08 | *
    |      282 |        - |      252 |      252 |       0.08 | *
    |      283 |        - |      246 |      246 |       0.09 | *
    |      288 |        - |      242 |      242 |       0.09 | *
    |      291 |        - |      238 |      238 |       0.09 | *
    |      295 |        - |      237 |      237 |       0.09 | *
    |      297 |        - |      236 |      236 |       0.09 | *
    |      298 |        - |      235 |      235 |       0.09 | *
    |      299 |        - |      234 |      234 |       0.09 | *
    |      307 |        - |      233 |      233 |       0.09 | *
    |      312 |        - |      232 |      232 |       0.09 | *
    |      315 |        - |      230 |      230 |       0.09 | *
    |      322 |        - |      225 |      225 |       0.09 | *
    |      323 |        - |      223 |      223 |       0.09 | *
    |      325 |        - |      222 |      222 |       0.09 | *
    |      340 |        - |      221 |      221 |       0.09 | *
    |      367 |        - |      220 |      220 |       0.10 | *
    |      376 |        - |      219 |      219 |       0.10 | *
    |      402 |        - |      218 |      218 |       0.10 | *
    |      410 |        - |      215 |      215 |       0.10 | *
    |      428 |        - |      213 |      213 |       0.10 | *
    |      438 |        - |      211 |      211 |       0.10 | *
    |      439 |        - |      210 |      210 |       0.10 | *
    |      442 |        - |      209 |      209 |       0.10 | *
    |      444 |        - |      208 |      208 |       0.10 | *
    |      461 |        - |      206 |      206 |       0.10 | *
    |      466 |        - |      205 |      205 |       0.10 | *
    |      468 |        - |      204 |      204 |       0.10 | *
    |      469 |        - |      203 |      203 |       0.10 | *
    |      475 |        - |      201 |      201 |       0.10 | *
    |      479 |        - |      200 |      200 |       0.11 | *
    |      506 |        - |      199 |      199 |       0.11 | *
    |      507 |        - |      197 |      197 |       0.11 | *
    |      530 |        - |      196 |      196 |       0.11 | *
    |      564 |        - |      195 |      195 |       0.11 | *
    |      593 |        - |      194 |      194 |       0.11 | *
    |      602 |        - |      193 |      193 |       0.11 | *
    |      603 |        - |      192 |      192 |       0.11 | *
    |      616 |        - |      190 |      190 |       0.11 | *
    |      629 |        - |      189 |      189 |       0.11 | *
    |      635 |        - |      188 |      188 |       0.11 | *
    |      638 |        - |      187 |      187 |       0.11 | *
    |      644 |        - |      186 |      186 |       0.12 | *
    |      650 |        - |      185 |      185 |       0.12 | *
    |      657 |        - |      184 |      184 |       0.12 | *
    |      698 |        - |      183 |      183 |       0.12 | *
    |      746 |        - |      182 |      182 |       0.12 | *
    |      790 |        - |      181 |      181 |       0.12 | *
    |      804 |        - |      180 |      180 |       0.12 | *
    |      807 |        - |      178 |      178 |       0.12 | *
    |      821 |        - |      176 |      176 |       0.12 | *
    |      842 |        - |      175 |      175 |       0.12 | *
    |      877 |        - |      174 |      174 |       0.13 | *
    |      882 |        - |      173 |      173 |       0.13 | *
    |      888 |        - |      171 |      171 |       0.13 | *
    |      893 |        - |      169 |      169 |       0.13 | *
    |      896 |        - |      168 |      168 |       0.13 | *
    |      901 |        - |      167 |      167 |       0.13 | *
    |      904 |        - |      166 |      166 |       0.13 | *
    |      927 |        - |      165 |      165 |       0.13 | *
    |      959 |        - |      164 |      164 |       0.13 | *
    |      968 |        - |      163 |      163 |       0.13 | *
    |     1016 |        - |      162 |      162 |       0.13 | *
    |     1017 |        - |      160 |      160 |       0.13 | *
    |     1020 |        - |      159 |      159 |       0.13 | *
    |     1079 |        - |      156 |      156 |       0.13 | *
    |     1122 |        - |      154 |      154 |       0.13 | *
    |     1129 |        - |      153 |      153 |       0.14 | *
    |     1139 |        - |      149 |      149 |       0.14 | *
    |     1189 |        - |      148 |      148 |       0.14 | *
    |     1212 |        - |      147 |      147 |       0.14 | *
    |     1215 |        - |      144 |      144 |       0.14 | *
    |     1232 |        - |      143 |      143 |       0.14 | *
    |     1246 |        - |      142 |      142 |       0.14 | *
    |     1376 |        - |      141 |      141 |       0.14 | *
    |     1377 |        - |      139 |      139 |       0.14 | *
    |     1394 |        - |      138 |      138 |       0.14 | *
    |     1474 |        - |      137 |      137 |       0.14 | *
    |     1522 |        - |      135 |      135 |       0.15 | *
    |     1545 |        - |      134 |      134 |       0.15 | *
    |     1603 |        - |      133 |      133 |       0.15 | *
    |     1609 |        - |      132 |      132 |       0.15 | *
    |     1632 |        - |      130 |      130 |       0.15 | *
    |     1738 |        - |      129 |      129 |       0.15 | *
    |     1747 |        - |      128 |      128 |       0.15 | *
    |     1818 |        - |      127 |      127 |       0.15 | *
    |     1858 |        - |      126 |      126 |       0.15 | *
    |     1936 |        - |      125 |      125 |       0.16 | *
    |     1945 |        - |      124 |      124 |       0.16 | *
    |     1969 |        - |      123 |      123 |       0.16 | *
    |     1992 |        - |      122 |      122 |       0.16 | *
    |     2020 |        - |      120 |      120 |       0.16 | *
    |     2051 |        - |      119 |      119 |       0.16 | *
    |     2052 |        - |      117 |      117 |       0.16 | *
    |     2121 |        - |      116 |      116 |       0.16 | *
    |     2141 |        - |      115 |      115 |       0.16 | *
    |     2167 |        - |      114 |      114 |       0.16 | *
    |     2214 |        - |      111 |      111 |       0.16 | *
    |     2393 |        - |      110 |      110 |       0.17 | *
    |     2590 |        - |      109 |      109 |       0.17 | *
    |     2658 |        - |      108 |      108 |       0.17 | *
    |     2676 |        - |      107 |      107 |       0.17 | *
    |     2777 |        - |      106 |      106 |       0.17 | *
    |     2973 |        - |      105 |      105 |       0.17 | *
    |     3034 |        - |      104 |      104 |       0.17 | *
    |     3039 |        - |      103 |      103 |       0.17 | *
    |     3133 |        - |      102 |      102 |       0.18 | *
    |     3302 |        - |      101 |      101 |       0.18 | *
    |     3466 |        - |      100 |      100 |       0.18 | *
    |     3490 |        - |       99 |       99 |       0.18 | *
    |     3558 |        - |       98 |       98 |       0.18 | *
    |     3836 |        - |       97 |       97 |       0.18 | *
    |     3845 |        - |       96 |       96 |       0.19 | *
    |     3892 |        - |       95 |       95 |       0.19 | *
    |     3942 |        - |       93 |       93 |       0.19 | *
    |     3973 |        - |       92 |       92 |       0.19 | *
    |     4020 |        - |       91 |       91 |       0.19 | *
    |     4422 |        - |       90 |       90 |       0.19 | *
    |     4468 |        - |       89 |       89 |       0.19 | *
    |     4497 |        - |       88 |       88 |       0.19 | *
    |     4528 |        - |       87 |       87 |       0.19 | *
    |     4746 |        - |       86 |       86 |       0.19 | *
    |     4886 |        - |       85 |       85 |       0.20 | *
    |     5117 |        - |       84 |       84 |       0.20 | *
    |     5144 |        - |       83 |       83 |       0.20 | *
    |     5423 |        - |       82 |       82 |       0.20 | *
    |     5466 |        - |       81 |       81 |       0.20 | *
    |     5487 |        - |       79 |       79 |       0.20 | *
    |     5508 |        - |       78 |       78 |       0.20 | *
    |     6128 |        - |       77 |       77 |       0.21 | *
    |     6185 |        - |       76 |       76 |       0.21 | *
    |     6383 |        - |       75 |       75 |       0.21 | *
    |     6800 |        - |       74 |       74 |       0.21 | *
    |     6988 |        - |       73 |       73 |       0.21 | *
    |     7250 |        - |       72 |       72 |       0.21 | *
    |     7551 |        - |       71 |       71 |       0.21 | *
    |     8126 |        - |       70 |       70 |       0.22 | *
    |     8155 |        - |       69 |       69 |       0.22 | *
    |     8171 |        - |       68 |       68 |       0.22 | *
    |     8248 |        - |       67 |       67 |       0.22 | *
    |     8627 |        - |       66 |       66 |       0.22 | *
    |     9082 |        - |       65 |       65 |       0.22 | *
    |      13K |        - |       64 |       64 |       0.23 | *
    |      13K |        - |       63 |       63 |       0.23 | *
    |      23K |        - |       62 |       62 |       0.25 | *
    |      24K |        - |       61 |       61 |       0.26 | *
    |      27K |        - |       60 |       60 |       0.26 | *
    |      31K |        - |       59 |       59 |       0.27 | *
    |      38K |        - |       58 |       58 |       0.29 | *
    |      41K |        - |       57 |       57 |       0.29 | *
    |      51K |        - |       56 |       56 |       0.31 | *
    |      65K |        - |       55 |       55 |       0.34 | *
    |     104K |        - |       54 |       54 |       0.41 | *
    |     163K |        - |       53 |       53 |       0.56 | *
    |     163K |        - |       52 |       52 |       0.56 | *
    |     182K |        - |       51 |       51 |       0.61 | *
    |    2967K |        - |       50 |       50 |       3.43 | *
    |    9386K |        - |       49 |       49 |       8.04 | *
    |      40M |        - |       48 |       48 |      26.96 | *
    |     207M |        - |       47 |       47 |     128.38 | *
    |     242M |        - |       46 |       46 |     150.01 | *
    |     481M |        - |       45 |       45 |     295.20 | *
    |     843M |        - |       44 |       44 |     515.29 | *
    \--------------------------------------------------------/

Neighborhoods statistics (values in %):

    /----------------------------------------------------------------\
    | Move               | Improvs. | Sideways |  Accepts |  Rejects |
    |--------------------|----------|----------|----------|----------|
    | Shift(mk)          |    1041K |    7580K |    9262K |     240M |
    | Shift              |      52K |      42M |      43M |     207M |
    | ShiftSmart(mk)     |    2879K |      28M |      32M |     218M |
    | ShiftSmart         |     143K |      89M |      90M |     160M |
    | SimpSwap(mk)       |     7156 |      18K |      29K |     250M |
    | SimpSwap           |      725 |      60K |      68K |     250M |
    | SimpSwapSmart(mk)  |      29K |      71K |     117K |     250M |
    | SimpSwapSmart      |     2896 |     234K |     265K |     250M |
    | Swap(mk)           |     5776 |      14K |      23K |     250M |
    | Swap               |      582 |      50K |      57K |     250M |
    | SwapSmart(mk)      |      18K |      51K |      79K |     250M |
    | SwapSmart          |     1922 |     153K |     170K |     250M |
    | Switch(mk)         |     633K |      52M |      53M |     197M |
    | Switch             |      32K |      76M |      77M |     173M |
    | SwitchSmart(mk)    |    1524K |    6185K |    8497K |     242M |
    | SwitchSmart        |      76K |      50M |      51M |     199M |
    | TaskMove(mk)       |      38K |      89K |     144K |     250M |
    | TaskMove           |     1963 |     175K |     195K |     250M |
    | TaskMoveSmart(mk)  |      94K |     246K |     383K |     250M |
    | TaskMoveSmart      |     4985 |     507K |     557K |     249M |
    | 2-Shift(mk)        |     756K |      18M |      19M |     231M |
    | 2-Shift            |      38K |      45M |      46M |     204M |
    | 2-ShiftSmart(mk)   |    2375K |      20M |      23M |     227M |
    | 2-ShiftSmart       |     119K |      82M |      82M |     167M |
    \----------------------------------------------------------------/

Best makespan.....: 44
N. of Iterations..: 5997717378
Total runtime.....: 3600.02s
Using Python-MIP package version 1.6.8
Começo a execução
    /-------------------------------------------------------------------------------\
    |    Makespan   |   Free Jobs   | Free Machines |    It. Time   |   Total Time  | 
    |-------------------------------------------------------------------------------|
    \-------------------------------------------------------------------------------/
Terminou a execução
