Instance....: instances/I_150_20_S_1-99_10.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1388 |     1388 |       0.00 | s0
    |        3 |        - |     1276 |     1276 |       0.02 | *
    |        4 |        - |     1205 |     1205 |       0.02 | *
    |        7 |        - |     1201 |     1201 |       0.02 | *
    |       11 |        - |     1194 |     1194 |       0.02 | *
    |       13 |        - |     1169 |     1169 |       0.02 | *
    |       17 |        - |     1147 |     1147 |       0.03 | *
    |       19 |        - |     1143 |     1143 |       0.03 | *
    |       20 |        - |     1138 |     1138 |       0.03 | *
    |       22 |        - |     1103 |     1103 |       0.03 | *
    |       26 |        - |     1101 |     1101 |       0.03 | *
    |       28 |        - |     1090 |     1090 |       0.03 | *
    |       29 |        - |     1083 |     1083 |       0.03 | *
    |       32 |        - |     1070 |     1070 |       0.04 | *
    |       37 |        - |     1059 |     1059 |       0.04 | *
    |       39 |        - |     1026 |     1026 |       0.04 | *
    |       45 |        - |     1020 |     1020 |       0.04 | *
    |       46 |        - |     1015 |     1015 |       0.04 | *
    |       48 |        - |     1013 |     1013 |       0.04 | *
    |       50 |        - |      968 |      968 |       0.04 | *
    |       58 |        - |      946 |      946 |       0.04 | *
    |       60 |        - |      904 |      904 |       0.04 | *
    |       63 |        - |      889 |      889 |       0.04 | *
    |       70 |        - |      867 |      867 |       0.04 | *
    |       77 |        - |      858 |      858 |       0.04 | *
    |       83 |        - |      845 |      845 |       0.04 | *
    |       84 |        - |      842 |      842 |       0.04 | *
    |       85 |        - |      841 |      841 |       0.05 | *
    |       87 |        - |      829 |      829 |       0.05 | *
    |       90 |        - |      816 |      816 |       0.05 | *
    |       92 |        - |      811 |      811 |       0.05 | *
    |       93 |        - |      805 |      805 |       0.05 | *
    |       94 |        - |      802 |      802 |       0.05 | *
    |      101 |        - |      792 |      792 |       0.05 | *
    |      107 |        - |      786 |      786 |       0.05 | *
    |      116 |        - |      774 |      774 |       0.05 | *
    |      117 |        - |      769 |      769 |       0.05 | *
    |      118 |        - |      749 |      749 |       0.05 | *
    |      133 |        - |      725 |      725 |       0.05 | *
    |      154 |        - |      709 |      709 |       0.05 | *
    |      165 |        - |      706 |      706 |       0.05 | *
    |      182 |        - |      702 |      702 |       0.05 | *
    |      184 |        - |      697 |      697 |       0.06 | *
    |      185 |        - |      695 |      695 |       0.06 | *
    |      186 |        - |      685 |      685 |       0.06 | *
    |      190 |        - |      682 |      682 |       0.06 | *
    |      193 |        - |      669 |      669 |       0.06 | *
    |      197 |        - |      666 |      666 |       0.06 | *
    |      204 |        - |      656 |      656 |       0.06 | *
    |      213 |        - |      653 |      653 |       0.06 | *
    |      218 |        - |      652 |      652 |       0.06 | *
    |      219 |        - |      649 |      649 |       0.06 | *
    |      222 |        - |      643 |      643 |       0.06 | *
    |      228 |        - |      636 |      636 |       0.06 | *
    |      229 |        - |      624 |      624 |       0.06 | *
    |      237 |        - |      613 |      613 |       0.06 | *
    |      244 |        - |      608 |      608 |       0.06 | *
    |      256 |        - |      599 |      599 |       0.06 | *
    |      261 |        - |      595 |      595 |       0.07 | *
    |      263 |        - |      594 |      594 |       0.07 | *
    |      271 |        - |      588 |      588 |       0.07 | *
    |      273 |        - |      574 |      574 |       0.07 | *
    |      274 |        - |      572 |      572 |       0.07 | *
    |      279 |        - |      567 |      567 |       0.07 | *
