Instance....: instances/I_150_25_S_1-124_7.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=4, timeLimit=360.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1067 |     1067 |       0.00 | s0
    |        0 |        - |      992 |      992 |       0.01 | *
    |        3 |        - |      958 |      958 |       0.01 | *
    |        6 |        - |      904 |      904 |       0.01 | *
    |       23 |        - |      900 |      900 |       0.03 | *
    |       26 |        - |      898 |      898 |       0.03 | *
    |       29 |        - |      891 |      891 |       0.03 | *
    |       42 |        - |      863 |      863 |       0.04 | *
    |       46 |        - |      845 |      845 |       0.04 | *
    |       47 |        - |      826 |      826 |       0.04 | *
    |       49 |        - |      816 |      816 |       0.04 | *
    |       50 |        - |      807 |      807 |       0.04 | *
    |       51 |        - |      792 |      792 |       0.04 | *
    |       52 |        - |      788 |      788 |       0.04 | *
    |       57 |        - |      778 |      778 |       0.04 | *
    |       58 |        - |      746 |      746 |       0.04 | *
    |       62 |        - |      727 |      727 |       0.04 | *
    |       66 |        - |      691 |      691 |       0.04 | *
    |       68 |        - |      681 |      681 |       0.04 | *
    |       74 |        - |      680 |      680 |       0.04 | *
    |       77 |        - |      679 |      679 |       0.04 | *
    |      112 |        - |      678 |      678 |       0.04 | *
    |      113 |        - |      676 |      676 |       0.04 | *
    |      121 |        - |      662 |      662 |       0.04 | *
    |      123 |        - |      653 |      653 |       0.04 | *
    |      125 |        - |      642 |      642 |       0.04 | *
    |      127 |        - |      637 |      637 |       0.05 | *
    |      134 |        - |      634 |      634 |       0.05 | *
    |      138 |        - |      632 |      632 |       0.05 | *
    |      145 |        - |      626 |      626 |       0.05 | *
    |      148 |        - |      625 |      625 |       0.05 | *
    |      150 |        - |      620 |      620 |       0.05 | *
    |      167 |        - |      609 |      609 |       0.05 | *
    |      190 |        - |      586 |      586 |       0.05 | *
    |      209 |        - |      583 |      583 |       0.05 | *
    |      212 |        - |      578 |      578 |       0.05 | *
    |      215 |        - |      574 |      574 |       0.05 | *
    |      217 |        - |      567 |      567 |       0.05 | *
    |      219 |        - |      559 |      559 |       0.05 | *
    |      226 |        - |      555 |      555 |       0.05 | *
    |      227 |        - |      544 |      544 |       0.05 | *
    |      259 |        - |      539 |      539 |       0.05 | *
    |      262 |        - |      537 |      537 |       0.06 | *
    |      274 |        - |      536 |      536 |       0.06 | *
    |      284 |        - |      533 |      533 |       0.06 | *
    |      286 |        - |      527 |      527 |       0.06 | *
    |      306 |        - |      524 |      524 |       0.06 | *
    |      307 |        - |      521 |      521 |       0.06 | *
    |      311 |        - |      518 |      518 |       0.06 | *
    |      319 |        - |      507 |      507 |       0.06 | *
    |      330 |        - |      505 |      505 |       0.06 | *
    |      334 |        - |      504 |      504 |       0.06 | *
    |      339 |        - |      503 |      503 |       0.06 | *
    |      373 |        - |      502 |      502 |       0.06 | *
    |      443 |        - |      499 |      499 |       0.06 | *
    |      481 |        - |      494 |      494 |       0.06 | *
    |      484 |        - |      487 |      487 |       0.06 | *
    |      505 |        - |      484 |      484 |       0.07 | *
    |      508 |        - |      477 |      477 |       0.07 | *
    |      520 |        - |      476 |      476 |       0.07 | *
    |      522 |        - |      475 |      475 |       0.07 | *
    |      547 |        - |      472 |      472 |       0.07 | *
    |      553 |        - |      470 |      470 |       0.07 | *
    |      554 |        - |      465 |      465 |       0.07 | *
    |      561 |        - |      460 |      460 |       0.07 | *
    |      562 |        - |      459 |      459 |       0.07 | *
    |      573 |        - |      457 |      457 |       0.07 | *
    |      579 |        - |      453 |      453 |       0.07 | *
    |      678 |        - |      452 |      452 |       0.07 | *
    |      680 |        - |      449 |      449 |       0.07 | *
    |      700 |        - |      448 |      448 |       0.07 | *
    |      702 |        - |      447 |      447 |       0.07 | *
    |      707 |        - |      444 |      444 |       0.07 | *
    |      717 |        - |      442 |      442 |       0.07 | *
    |      732 |        - |      439 |      439 |       0.07 | *
    |      756 |        - |      433 |      433 |       0.07 | *
    |      767 |        - |      432 |      432 |       0.08 | *
    |      788 |        - |      429 |      429 |       0.08 | *
    |      794 |        - |      427 |      427 |       0.08 | *
    |      802 |        - |      424 |      424 |       0.08 | *
    |      820 |        - |      421 |      421 |       0.08 | *
    |      829 |        - |      420 |      420 |       0.08 | *
    |      833 |        - |      417 |      417 |       0.08 | *
    |      888 |        - |      414 |      414 |       0.08 | *
    |      911 |        - |      413 |      413 |       0.08 | *
    |      912 |        - |      412 |      412 |       0.08 | *
    |      914 |        - |      410 |      410 |       0.08 | *
    |      930 |        - |      403 |      403 |       0.08 | *
    |      939 |        - |      400 |      400 |       0.08 | *
    |      946 |        - |      390 |      390 |       0.08 | *
    |      948 |        - |      389 |      389 |       0.08 | *
    |      958 |        - |      386 |      386 |       0.08 | *
    |      969 |        - |      385 |      385 |       0.08 | *
    |      979 |        - |      382 |      382 |       0.08 | *
    |     1004 |        - |      379 |      379 |       0.08 | *
    |     1006 |        - |      377 |      377 |       0.08 | *
    |     1013 |        - |      376 |      376 |       0.08 | *
    |     1035 |        - |      373 |      373 |       0.08 | *
    |     1052 |        - |      369 |      369 |       0.09 | *
    |     1087 |        - |      366 |      366 |       0.09 | *
    |     1119 |        - |      364 |      364 |       0.09 | *
    |     1125 |        - |      363 |      363 |       0.09 | *
    |     1140 |        - |      360 |      360 |       0.09 | *
    |     1157 |        - |      359 |      359 |       0.09 | *
    |     1182 |        - |      358 |      358 |       0.09 | *
    |     1187 |        - |      357 |      357 |       0.09 | *
    |     1217 |        - |      353 |      353 |       0.09 | *
    |     1218 |        - |      352 |      352 |       0.09 | *
    |     1405 |        - |      351 |      351 |       0.09 | *
    |     1415 |        - |      350 |      350 |       0.09 | *
    |     1429 |        - |      349 |      349 |       0.09 | *
    |     1519 |        - |      346 |      346 |       0.09 | *
    |     1529 |        - |      345 |      345 |       0.09 | *
    |     1539 |        - |      342 |      342 |       0.09 | *
    |     1547 |        - |      341 |      341 |       0.10 | *
    |     1553 |        - |      340 |      340 |       0.10 | *
    |     1593 |        - |      335 |      335 |       0.10 | *
    |     1598 |        - |      333 |      333 |       0.10 | *
    |     1606 |        - |      332 |      332 |       0.10 | *
    |     1753 |        - |      331 |      331 |       0.10 | *
    |     2044 |        - |      330 |      330 |       0.10 | *
    |     2118 |        - |      326 |      326 |       0.10 | *
    |     2127 |        - |      322 |      322 |       0.10 | *
    |     2167 |        - |      321 |      321 |       0.10 | *
    |     2226 |        - |      317 |      317 |       0.10 | *
    |     2471 |        - |      315 |      315 |       0.11 | *
    |     2473 |        - |      314 |      314 |       0.11 | *
    |     2600 |        - |      313 |      313 |       0.11 | *
    |     2658 |        - |      310 |      310 |       0.11 | *
    |     2663 |        - |      308 |      308 |       0.11 | *
    |     2677 |        - |      305 |      305 |       0.11 | *
    |     2700 |        - |      304 |      304 |       0.11 | *
    |     2839 |        - |      303 |      303 |       0.11 | *
    |     2865 |        - |      302 |      302 |       0.11 | *
    |     3108 |        - |      299 |      299 |       0.11 | *
    |     3111 |        - |      296 |      296 |       0.11 | *
    |     3133 |        - |      295 |      295 |       0.11 | *
    |     3192 |        - |      293 |      293 |       0.11 | *
    |     3255 |        - |      292 |      292 |       0.12 | *
    |     3291 |        - |      291 |      291 |       0.12 | *
    |     3296 |        - |      288 |      288 |       0.12 | *
    |     3393 |        - |      286 |      286 |       0.12 | *
    |     3519 |        - |      285 |      285 |       0.12 | *
    |     3524 |        - |      284 |      284 |       0.12 | *
    |     3554 |        - |      283 |      283 |       0.12 | *
    |     3557 |        - |      282 |      282 |       0.12 | *
    |     3576 |        - |      281 |      281 |       0.12 | *
    |     3624 |        - |      280 |      280 |       0.12 | *
    |     3634 |        - |      279 |      279 |       0.12 | *
    |     3648 |        - |      278 |      278 |       0.12 | *
    |     3658 |        - |      277 |      277 |       0.12 | *
    |     3702 |        - |      275 |      275 |       0.12 | *
    |     3710 |        - |      272 |      272 |       0.12 | *
    |     3715 |        - |      271 |      271 |       0.12 | *
    |     3752 |        - |      270 |      270 |       0.12 | *
    |     3956 |        - |      269 |      269 |       0.12 | *
    |     3971 |        - |      268 |      268 |       0.12 | *
    |     3983 |        - |      266 |      266 |       0.12 | *
    |     4408 |        - |      265 |      265 |       0.13 | *
    |     4428 |        - |      261 |      261 |       0.13 | *
    |     4449 |        - |      260 |      260 |       0.13 | *
    |     5259 |        - |      259 |      259 |       0.13 | *
    |     5355 |        - |      258 |      258 |       0.13 | *
    |     5515 |        - |      255 |      255 |       0.13 | *
    |     5557 |        - |      254 |      254 |       0.13 | *
    |     5671 |        - |      250 |      250 |       0.13 | *
    |     5821 |        - |      248 |      248 |       0.13 | *
    |     5937 |        - |      247 |      247 |       0.13 | *
    |     5969 |        - |      245 |      245 |       0.13 | *
    |     6246 |        - |      244 |      244 |       0.13 | *
    |     6347 |        - |      243 |      243 |       0.13 | *
    |     6353 |        - |      240 |      240 |       0.13 | *
    |     6381 |        - |      239 |      239 |       0.14 | *
    |     6479 |        - |      237 |      237 |       0.14 | *
    |     7064 |        - |      236 |      236 |       0.14 | *
    |     7149 |        - |      234 |      234 |       0.14 | *
    |     7185 |        - |      233 |      233 |       0.14 | *
    |     7702 |        - |      232 |      232 |       0.14 | *
    |     7834 |        - |      231 |      231 |       0.14 | *
    |     8240 |        - |      229 |      229 |       0.14 | *
    |     8366 |        - |      228 |      228 |       0.14 | *
    |     8399 |        - |      226 |      226 |       0.14 | *
    |     8446 |        - |      225 |      225 |       0.15 | *
    |     9352 |        - |      224 |      224 |       0.15 | *
    |     9678 |        - |      223 |      223 |       0.15 | *
    |     9809 |        - |      220 |      220 |       0.15 | *
    |      10K |        - |      219 |      219 |       0.15 | *
    |      12K |        - |      218 |      218 |       0.16 | *
    |      14K |        - |      217 |      217 |       0.17 | *
    |      15K |        - |      216 |      216 |       0.17 | *
    |      17K |        - |      215 |      215 |       0.18 | *
    |      17K |        - |      214 |      214 |       0.18 | *
    |      17K |        - |      213 |      213 |       0.18 | *
    |      17K |        - |      212 |      212 |       0.18 | *
    |      17K |        - |      211 |      211 |       0.18 | *
    |      18K |        - |      210 |      210 |       0.19 | *
    |      19K |        - |      209 |      209 |       0.19 | *
    |      20K |        - |      208 |      208 |       0.19 | *
    |      20K |        - |      206 |      206 |       0.19 | *
    |      20K |        - |      205 |      205 |       0.20 | *
    |      20K |        - |      204 |      204 |       0.20 | *
    |      20K |        - |      202 |      202 |       0.20 | *
    |      21K |        - |      200 |      200 |       0.20 | *
    |      25K |        - |      199 |      199 |       0.22 | *
    |      25K |        - |      197 |      197 |       0.22 | *
    |      25K |        - |      196 |      196 |       0.22 | *
    |      25K |        - |      195 |      195 |       0.22 | *
    |      26K |        - |      193 |      193 |       0.22 | *
