Instance....: instances/I_100_20_S_1-9_5.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |      645 |      645 |       0.00 | s0
    |        0 |        - |      634 |      634 |       0.01 | *
    |        3 |        - |      623 |      623 |       0.01 | *
    |        5 |        - |      598 |      598 |       0.01 | *
    |        6 |        - |      597 |      597 |       0.01 | *
    |       13 |        - |      594 |      594 |       0.04 | *
    |       17 |        - |      573 |      573 |       0.04 | *
    |       18 |        - |      565 |      565 |       0.04 | *
    |       19 |        - |      560 |      560 |       0.05 | *
    |       26 |        - |      534 |      534 |       0.05 | *
    |       27 |        - |      528 |      528 |       0.05 | *
    |       33 |        - |      527 |      527 |       0.05 | *
    |       41 |        - |      492 |      492 |       0.05 | *
    |       42 |        - |      489 |      489 |       0.05 | *
    |       43 |        - |      487 |      487 |       0.05 | *
    |       44 |        - |      476 |      476 |       0.05 | *
    |       45 |        - |      472 |      472 |       0.05 | *
    |       47 |        - |      440 |      440 |       0.06 | *
    |       48 |        - |      437 |      437 |       0.06 | *
    |       49 |        - |      435 |      435 |       0.06 | *
    |       50 |        - |      434 |      434 |       0.06 | *
    |       51 |        - |      419 |      419 |       0.06 | *
    |       58 |        - |      411 |      411 |       0.06 | *
    |       64 |        - |      401 |      401 |       0.06 | *
    |       70 |        - |      388 |      388 |       0.06 | *
    |       85 |        - |      385 |      385 |       0.06 | *
    |       86 |        - |      374 |      374 |       0.06 | *
    |       88 |        - |      369 |      369 |       0.06 | *
    |       89 |        - |      368 |      368 |       0.07 | *
    |       91 |        - |      366 |      366 |       0.07 | *
    |       94 |        - |      360 |      360 |       0.07 | *
    |      102 |        - |      352 |      352 |       0.07 | *
    |      106 |        - |      346 |      346 |       0.07 | *
    |      107 |        - |      331 |      331 |       0.07 | *
    |      110 |        - |      330 |      330 |       0.07 | *
    |      117 |        - |      326 |      326 |       0.07 | *
    |      119 |        - |      320 |      320 |       0.07 | *
    |      120 |        - |      319 |      319 |       0.07 | *
    |      131 |        - |      318 |      318 |       0.07 | *
    |      132 |        - |      316 |      316 |       0.08 | *
    |      134 |        - |      315 |      315 |       0.08 | *
    |      135 |        - |      310 |      310 |       0.08 | *
    |      136 |        - |      306 |      306 |       0.08 | *
    |      158 |        - |      303 |      303 |       0.08 | *
    |      172 |        - |      292 |      292 |       0.08 | *
    |      185 |        - |      287 |      287 |       0.08 | *
    |      189 |        - |      283 |      283 |       0.08 | *
    |      190 |        - |      282 |      282 |       0.08 | *
    |      196 |        - |      281 |      281 |       0.08 | *
    |      200 |        - |      280 |      280 |       0.08 | *
    |      216 |        - |      278 |      278 |       0.08 | *
    |      217 |        - |      276 |      276 |       0.08 | *
    |      218 |        - |      275 |      275 |       0.09 | *
    |      220 |        - |      270 |      270 |       0.09 | *
    |      231 |        - |      259 |      259 |       0.09 | *
    |      234 |        - |      257 |      257 |       0.09 | *
    |      249 |        - |      255 |      255 |       0.09 | *
    |      250 |        - |      254 |      254 |       0.09 | *
    |      251 |        - |      251 |      251 |       0.09 | *
    |      263 |        - |      250 |      250 |       0.09 | *
    |      267 |        - |      247 |      247 |       0.09 | *
    |      268 |        - |      246 |      246 |       0.09 | *
    |      309 |        - |      244 |      244 |       0.09 | *
    |      321 |        - |      243 |      243 |       0.09 | *
    |      331 |        - |      242 |      242 |       0.10 | *
    |      333 |        - |      241 |      241 |       0.10 | *
    |      344 |        - |      239 |      239 |       0.10 | *
    |      347 |        - |      238 |      238 |       0.10 | *
    |      356 |        - |      236 |      236 |       0.10 | *
    |      357 |        - |      234 |      234 |       0.10 | *
    |      372 |        - |      232 |      232 |       0.10 | *
    |      384 |        - |      231 |      231 |       0.10 | *
    |      412 |        - |      230 |      230 |       0.10 | *
    |      414 |        - |      229 |      229 |       0.10 | *
    |      417 |        - |      228 |      228 |       0.10 | *
    |      418 |        - |      227 |      227 |       0.10 | *
    |      447 |        - |      225 |      225 |       0.10 | *
    |      504 |        - |      222 |      222 |       0.10 | *
    |      508 |        - |      220 |      220 |       0.11 | *
    |      516 |        - |      218 |      218 |       0.11 | *
    |      519 |        - |      217 |      217 |       0.11 | *
    |      527 |        - |      215 |      215 |       0.11 | *
    |      537 |        - |      214 |      214 |       0.11 | *
    |      540 |        - |      213 |      213 |       0.11 | *
    |      549 |        - |      212 |      212 |       0.11 | *
    |      598 |        - |      210 |      210 |       0.11 | *
    |      604 |        - |      209 |      209 |       0.11 | *
    |      618 |        - |      207 |      207 |       0.12 | *
    |      641 |        - |      206 |      206 |       0.12 | *
    |      644 |        - |      205 |      205 |       0.12 | *
    |      645 |        - |      204 |      204 |       0.12 | *
    |      654 |        - |      203 |      203 |       0.12 | *
    |      663 |        - |      202 |      202 |       0.12 | *
    |      685 |        - |      201 |      201 |       0.12 | *
    |      691 |        - |      200 |      200 |       0.12 | *
    |      699 |        - |      196 |      196 |       0.12 | *
    |      714 |        - |      195 |      195 |       0.13 | *
    |      734 |        - |      194 |      194 |       0.13 | *
    |      742 |        - |      193 |      193 |       0.13 | *
    |      778 |        - |      191 |      191 |       0.13 | *
    |      780 |        - |      189 |      189 |       0.13 | *
    |      783 |        - |      185 |      185 |       0.13 | *
    |      792 |        - |      183 |      183 |       0.13 | *
    |      795 |        - |      182 |      182 |       0.13 | *
    |      854 |        - |      180 |      180 |       0.13 | *
    |      881 |        - |      176 |      176 |       0.14 | *
    |      891 |        - |      173 |      173 |       0.14 | *
    |      927 |        - |      172 |      172 |       0.14 | *
    |      959 |        - |      168 |      168 |       0.14 | *
    |      965 |        - |      167 |      167 |       0.14 | *
    |      971 |        - |      165 |      165 |       0.14 | *
    |      974 |        - |      164 |      164 |       0.14 | *
    |      997 |        - |      161 |      161 |       0.14 | *
    |      999 |        - |      160 |      160 |       0.14 | *
    |     1003 |        - |      159 |      159 |       0.15 | *
    |     1006 |        - |      158 |      158 |       0.15 | *
    |     1023 |        - |      156 |      156 |       0.15 | *
    |     1066 |        - |      155 |      155 |       0.15 | *
    |     1068 |        - |      154 |      154 |       0.15 | *
    |     1132 |        - |      152 |      152 |       0.15 | *
    |     1177 |        - |      151 |      151 |       0.15 | *
    |     1185 |        - |      149 |      149 |       0.15 | *
    |     1189 |        - |      148 |      148 |       0.15 | *
    |     1230 |        - |      146 |      146 |       0.16 | *
    |     1247 |        - |      144 |      144 |       0.16 | *
    |     1253 |        - |      143 |      143 |       0.16 | *
    |     1254 |        - |      142 |      142 |       0.16 | *
    |     1278 |        - |      139 |      139 |       0.16 | *
    |     1307 |        - |      138 |      138 |       0.16 | *
    |     1369 |        - |      137 |      137 |       0.16 | *
    |     1386 |        - |      136 |      136 |       0.17 | *
    |     1390 |        - |      135 |      135 |       0.17 | *
    |     1396 |        - |      134 |      134 |       0.17 | *
    |     1456 |        - |      133 |      133 |       0.17 | *
    |     1470 |        - |      132 |      132 |       0.17 | *
    |     1476 |        - |      131 |      131 |       0.17 | *
    |     1507 |        - |      130 |      130 |       0.17 | *
    |     1529 |        - |      129 |      129 |       0.17 | *
    |     1616 |        - |      128 |      128 |       0.17 | *
    |     1701 |        - |      127 |      127 |       0.18 | *
    |     1811 |        - |      126 |      126 |       0.18 | *
    |     1813 |        - |      124 |      124 |       0.18 | *
    |     1825 |        - |      121 |      121 |       0.18 | *
    |     1859 |        - |      120 |      120 |       0.18 | *
    |     1873 |        - |      119 |      119 |       0.18 | *
    |     1874 |        - |      118 |      118 |       0.18 | *
    |     1876 |        - |      117 |      117 |       0.18 | *
    |     1933 |        - |      116 |      116 |       0.18 | *
    |     1946 |        - |      114 |      114 |       0.18 | *
    |     1971 |        - |      113 |      113 |       0.19 | *
    |     1994 |        - |      112 |      112 |       0.19 | *
    |     2018 |        - |      111 |      111 |       0.19 | *
    |     2050 |        - |      110 |      110 |       0.19 | *
    |     2070 |        - |      109 |      109 |       0.19 | *
    |     2128 |        - |      108 |      108 |       0.19 | *
    |     2176 |        - |      107 |      107 |       0.19 | *
    |     2206 |        - |      106 |      106 |       0.19 | *
    |     2281 |        - |      104 |      104 |       0.19 | *
    |     2538 |        - |      103 |      103 |       0.20 | *
    |     2666 |        - |      102 |      102 |       0.20 | *
    |     2732 |        - |      101 |      101 |       0.20 | *
    |     2760 |        - |      100 |      100 |       0.20 | *
    |     2790 |        - |       99 |       99 |       0.20 | *
    |     2791 |        - |       98 |       98 |       0.20 | *
    |     2824 |        - |       97 |       97 |       0.20 | *
    |     2930 |        - |       96 |       96 |       0.20 | *
    |     2976 |        - |       95 |       95 |       0.20 | *
    |     3587 |        - |       94 |       94 |       0.21 | *
    |     3607 |        - |       93 |       93 |       0.21 | *
    |     3619 |        - |       92 |       92 |       0.21 | *
    |     3620 |        - |       91 |       91 |       0.21 | *
    |     3648 |        - |       90 |       90 |       0.21 | *
    |     3926 |        - |       89 |       89 |       0.21 | *
    |     3933 |        - |       88 |       88 |       0.21 | *
    |     3965 |        - |       87 |       87 |       0.21 | *
    |     4387 |        - |       86 |       86 |       0.22 | *
    |     4398 |        - |       85 |       85 |       0.22 | *
    |     4541 |        - |       83 |       83 |       0.22 | *
    |     4707 |        - |       82 |       82 |       0.22 | *
    |     4770 |        - |       80 |       80 |       0.22 | *
    |     4889 |        - |       79 |       79 |       0.22 | *
    |     5573 |        - |       78 |       78 |       0.22 | *
    |     5670 |        - |       77 |       77 |       0.22 | *
    |     6183 |        - |       76 |       76 |       0.22 | *
    |     7500 |        - |       75 |       75 |       0.23 | *
    |     7923 |        - |       74 |       74 |       0.23 | *
    |     8275 |        - |       73 |       73 |       0.23 | *
    |     8407 |        - |       72 |       72 |       0.23 | *
    |     9411 |        - |       71 |       71 |       0.23 | *
    |     9442 |        - |       70 |       70 |       0.23 | *
    |     9633 |        - |       69 |       69 |       0.23 | *
    |     9956 |        - |       68 |       68 |       0.24 | *
    |      10K |        - |       67 |       67 |       0.24 | *
    |      11K |        - |       66 |       66 |       0.24 | *
    |      11K |        - |       65 |       65 |       0.24 | *
    |      11K |        - |       64 |       64 |       0.24 | *
    |      14K |        - |       63 |       63 |       0.25 | *
    |      16K |        - |       62 |       62 |       0.25 | *
    |      17K |        - |       61 |       61 |       0.25 | *
    |      18K |        - |       60 |       60 |       0.25 | *
    |      18K |        - |       59 |       59 |       0.26 | *
    |      18K |        - |       58 |       58 |       0.26 | *
    |      19K |        - |       57 |       57 |       0.26 | *
    |      19K |        - |       56 |       56 |       0.26 | *
    |      22K |        - |       55 |       55 |       0.26 | *
    |      25K |        - |       54 |       54 |       0.27 | *
    |      25K |        - |       53 |       53 |       0.27 | *
    |      36K |        - |       52 |       52 |       0.29 | *
    |      82K |        - |       51 |       51 |       0.36 | *
    |      84K |        - |       50 |       50 |       0.37 | *
    |     142K |        - |       49 |       49 |       0.57 | *
    |     982K |        - |       48 |       48 |       1.74 | *
    |    1063K |        - |       47 |       47 |       1.82 | *
    |    2808K |        - |       46 |       46 |       3.53 | *
    |    2820K |        - |       45 |       45 |       3.54 | *
    |      69M |        - |       44 |       44 |      44.72 | *
    |     276M |        - |       43 |       43 |     166.51 | *
    |     734M |        - |       42 |       42 |     438.12 | *
    |    1188M |        - |       41 |       41 |     705.02 | *
    \--------------------------------------------------------/

Neighborhoods statistics (values in %):

    /----------------------------------------------------------------\
    | Move               | Improvs. | Sideways |  Accepts |  Rejects |
    |--------------------|----------|----------|----------|----------|
    | Shift(mk)          |    1057K |    8623K |      10M |     242M |
    | Shift              |      53K |      49M |      50M |     203M |
    | ShiftSmart(mk)     |    2735K |      20M |      24M |     228M |
    | ShiftSmart         |     137K |      94M |      95M |     158M |
    | SimpSwap(mk)       |     5021 |      15K |      23K |     252M |
    | SimpSwap           |      551 |      45K |      51K |     252M |
    | SimpSwapSmart(mk)  |      20K |      61K |      93K |     252M |
    | SimpSwapSmart      |     2064 |     176K |     199K |     252M |
    | Swap(mk)           |     4037 |      11K |      17K |     252M |
    | Swap               |      382 |      36K |      41K |     252M |
    | SwapSmart(mk)      |      13K |      43K |      63K |     252M |
    | SwapSmart          |     1319 |     116K |     128K |     252M |
    | Switch(mk)         |     633K |      56M |      57M |     195M |
    | Switch             |      32K |      81M |      82M |     171M |
    | SwitchSmart(mk)    |    1538K |      12M |      14M |     238M |
    | SwitchSmart        |      76K |      53M |      54M |     198M |
    | TaskMove(mk)       |      33K |      75K |     122K |     252M |
    | TaskMove           |     1704 |     160K |     177K |     252M |
    | TaskMoveSmart(mk)  |      82K |     224K |     342K |     252M |
    | TaskMoveSmart      |     4234 |     496K |     539K |     252M |
    | 2-Shift(mk)        |     742K |      20M |      22M |     231M |
    | 2-Shift            |      37K |      53M |      54M |     198M |
    | 2-ShiftSmart(mk)   |    2188K |      37M |      40M |     213M |
    | 2-ShiftSmart       |     109K |      91M |      91M |     161M |
    \----------------------------------------------------------------/

Best makespan.....: 41
N. of Iterations..: 6057014070
Total runtime.....: 3600.04s
Using Python-MIP package version 1.6.8
Começo a execução
    /-------------------------------------------------------------------------------\
    |    Makespan   |   Free Jobs   | Free Machines |    It. Time   |   Total Time  | 
    |-------------------------------------------------------------------------------|
    \-------------------------------------------------------------------------------/
Terminou a execução
