Instance....: instances/I_150_25_S_1-49_6.txt
Algorithm...: Simulated Annealing (alpha=0.990, saMax=10M, t0=1)
Other params: maxIters=100M, seed=-1, timeLimit=3600.00s

    /--------------------------------------------------------\
    |     Iter |   RDP(%) |       S* |       S' |       Time | 
    |----------|----------|----------|----------|------------|
    |        0 |        - |     1323 |     1323 |       0.00 | s0
    |        0 |        - |     1251 |     1251 |       0.01 | *
    |        6 |        - |     1162 |     1162 |       0.01 | *
    |        8 |        - |     1028 |     1028 |       0.01 | *
    |       13 |        - |      969 |      969 |       0.01 | *
    |       19 |        - |      915 |      915 |       0.04 | *
    |       21 |        - |      880 |      880 |       0.04 | *
    |       22 |        - |      839 |      839 |       0.04 | *
    |       23 |        - |      833 |      833 |       0.04 | *
    |       30 |        - |      828 |      828 |       0.04 | *
    |       33 |        - |      826 |      826 |       0.04 | *
    |       35 |        - |      811 |      811 |       0.05 | *
    |       38 |        - |      810 |      810 |       0.05 | *
    |       40 |        - |      781 |      781 |       0.05 | *
    |       47 |        - |      773 |      773 |       0.05 | *
    |       49 |        - |      729 |      729 |       0.05 | *
    |       51 |        - |      716 |      716 |       0.05 | *
    |       60 |        - |      706 |      706 |       0.05 | *
    |       61 |        - |      692 |      692 |       0.05 | *
    |       64 |        - |      672 |      672 |       0.05 | *
    |       80 |        - |      652 |      652 |       0.05 | *
    |       81 |        - |      650 |      650 |       0.06 | *
    |       82 |        - |      647 |      647 |       0.06 | *
    |       83 |        - |      643 |      643 |       0.06 | *
    |       85 |        - |      619 |      619 |       0.06 | *
    |       86 |        - |      612 |      612 |       0.06 | *
    |       87 |        - |      608 |      608 |       0.06 | *
    |       90 |        - |      591 |      591 |       0.06 | *
    |       91 |        - |      585 |      585 |       0.06 | *
    |       95 |        - |      573 |      573 |       0.06 | *
    |       98 |        - |      563 |      563 |       0.06 | *
    |      103 |        - |      554 |      554 |       0.07 | *
    |      104 |        - |      546 |      546 |       0.07 | *
    |      105 |        - |      533 |      533 |       0.07 | *
    |      109 |        - |      526 |      526 |       0.07 | *
    |      116 |        - |      523 |      523 |       0.07 | *
    |      117 |        - |      508 |      508 |       0.07 | *
    |      119 |        - |      507 |      507 |       0.07 | *
    |      122 |        - |      501 |      501 |       0.07 | *
    |      125 |        - |      497 |      497 |       0.07 | *
    |      126 |        - |      492 |      492 |       0.07 | *
    |      133 |        - |      486 |      486 |       0.08 | *
    |      138 |        - |      482 |      482 |       0.08 | *
    |      140 |        - |      476 |      476 |       0.08 | *
    |      146 |        - |      474 |      474 |       0.08 | *
    |      148 |        - |      454 |      454 |       0.08 | *
    |      159 |        - |      447 |      447 |       0.08 | *
    |      161 |        - |      443 |      443 |       0.08 | *
    |      174 |        - |      436 |      436 |       0.08 | *
    |      175 |        - |      435 |      435 |       0.08 | *
    |      183 |        - |      434 |      434 |       0.08 | *
    |      188 |        - |      433 |      433 |       0.08 | *
    |      189 |        - |      430 |      430 |       0.09 | *
    |      202 |        - |      428 |      428 |       0.09 | *
    |      203 |        - |      426 |      426 |       0.09 | *
    |      204 |        - |      420 |      420 |       0.09 | *
    |      228 |        - |      416 |      416 |       0.09 | *
    |      233 |        - |      415 |      415 |       0.09 | *
    |      238 |        - |      410 |      410 |       0.09 | *
    |      251 |        - |      409 |      409 |       0.09 | *
    |      253 |        - |      403 |      403 |       0.09 | *
    |      256 |        - |      396 |      396 |       0.09 | *
    |      265 |        - |      392 |      392 |       0.09 | *
    |      267 |        - |      385 |      385 |       0.10 | *
    |      273 |        - |      383 |      383 |       0.10 | *
    |      294 |        - |      381 |      381 |       0.10 | *
    |      300 |        - |      378 |      378 |       0.10 | *
    |      334 |        - |      368 |      368 |       0.10 | *
    |      338 |        - |      362 |      362 |       0.10 | *
    |      340 |        - |      357 |      357 |       0.10 | *
    |      342 |        - |      352 |      352 |       0.10 | *
    |      345 |        - |      350 |      350 |       0.10 | *
    |      347 |        - |      339 |      339 |       0.10 | *
    |      356 |        - |      336 |      336 |       0.10 | *
    |      368 |        - |      335 |      335 |       0.10 | *
    |      406 |        - |      334 |      334 |       0.11 | *
    |      411 |        - |      329 |      329 |       0.11 | *
    |      413 |        - |      328 |      328 |       0.11 | *
    |      453 |        - |      326 |      326 |       0.11 | *
    |      491 |        - |      325 |      325 |       0.11 | *
    |      529 |        - |      324 |      324 |       0.11 | *
    |      537 |        - |      321 |      321 |       0.11 | *
    |      546 |        - |      318 |      318 |       0.11 | *
    |      549 |        - |      317 |      317 |       0.11 | *
    |      555 |        - |      316 |      316 |       0.12 | *
    |      589 |        - |      315 |      315 |       0.12 | *
    |      612 |        - |      314 |      314 |       0.12 | *
    |      676 |        - |      312 |      312 |       0.12 | *
    |      696 |        - |      310 |      310 |       0.12 | *
    |      738 |        - |      309 |      309 |       0.12 | *
    |      770 |        - |      308 |      308 |       0.12 | *
    |      777 |        - |      306 |      306 |       0.12 | *
    |      779 |        - |      302 |      302 |       0.13 | *
    |      787 |        - |      301 |      301 |       0.13 | *
    |      788 |        - |      300 |      300 |       0.13 | *
    |      824 |        - |      299 |      299 |       0.13 | *
    |      851 |        - |      298 |      298 |       0.13 | *
    |      853 |        - |      297 |      297 |       0.13 | *
    |      869 |        - |      296 |      296 |       0.13 | *
    |      884 |        - |      294 |      294 |       0.13 | *
    |      902 |        - |      293 |      293 |       0.14 | *
    |      934 |        - |      292 |      292 |       0.14 | *
    |      944 |        - |      289 |      289 |       0.14 | *
    |      949 |        - |      285 |      285 |       0.14 | *
    |      951 |        - |      284 |      284 |       0.14 | *
    |      967 |        - |      282 |      282 |       0.14 | *
    |      993 |        - |      280 |      280 |       0.14 | *
    |     1083 |        - |      279 |      279 |       0.14 | *
    |     1096 |        - |      278 |      278 |       0.14 | *
    |     1098 |        - |      277 |      277 |       0.14 | *
    |     1099 |        - |      276 |      276 |       0.15 | *
    |     1103 |        - |      275 |      275 |       0.15 | *
    |     1113 |        - |      273 |      273 |       0.15 | *
    |     1142 |        - |      272 |      272 |       0.15 | *
    |     1151 |        - |      271 |      271 |       0.15 | *
    |     1174 |        - |      270 |      270 |       0.15 | *
    |     1184 |        - |      266 |      266 |       0.15 | *
    |     1242 |        - |      265 |      265 |       0.15 | *
    |     1266 |        - |      263 |      263 |       0.15 | *
    |     1272 |        - |      262 |      262 |       0.15 | *
    |     1277 |        - |      261 |      261 |       0.16 | *
    |     1300 |        - |      260 |      260 |       0.16 | *
    |     1302 |        - |      259 |      259 |       0.16 | *
    |     1333 |        - |      258 |      258 |       0.16 | *
    |     1371 |        - |      257 |      257 |       0.16 | *
    |     1379 |        - |      255 |      255 |       0.16 | *
    |     1422 |        - |      254 |      254 |       0.16 | *
    |     1434 |        - |      253 |      253 |       0.16 | *
    |     1454 |        - |      252 |      252 |       0.16 | *
    |     1476 |        - |      249 |      249 |       0.17 | *
    |     1560 |        - |      243 |      243 |       0.17 | *
    |     1570 |        - |      240 |      240 |       0.17 | *
    |     1577 |        - |      239 |      239 |       0.17 | *
    |     1603 |        - |      238 |      238 |       0.17 | *
    |     1651 |        - |      237 |      237 |       0.17 | *
    |     1652 |        - |      234 |      234 |       0.17 | *
    |     1656 |        - |      233 |      233 |       0.17 | *
    |     1657 |        - |      231 |      231 |       0.17 | *
    |     1691 |        - |      230 |      230 |       0.18 | *
    |     1920 |        - |      229 |      229 |       0.18 | *
    |     1983 |        - |      228 |      228 |       0.18 | *
    |     2033 |        - |      227 |      227 |       0.18 | *
    |     2107 |        - |      225 |      225 |       0.18 | *
    |     2166 |        - |      224 |      224 |       0.18 | *
    |     2181 |        - |      223 |      223 |       0.19 | *
    |     2302 |        - |      222 |      222 |       0.19 | *
    |     2363 |        - |      221 |      221 |       0.19 | *
    |     2391 |        - |      217 |      217 |       0.19 | *
    |     2429 |        - |      216 |      216 |       0.19 | *
    |     2443 |        - |      214 |      214 |       0.19 | *
    |     2447 |        - |      213 |      213 |       0.19 | *
    |     2460 |        - |      212 |      212 |       0.19 | *
    |     2495 |        - |      211 |      211 |       0.19 | *
    |     2520 |        - |      210 |      210 |       0.20 | *
    |     2679 |        - |      209 |      209 |       0.20 | *
    |     2700 |        - |      208 |      208 |       0.20 | *
    |     2790 |        - |      206 |      206 |       0.20 | *
    |     2791 |        - |      205 |      205 |       0.20 | *
    |     2897 |        - |      204 |      204 |       0.20 | *
