
Gurobi 7.0.2 (win64) logging started 06/24/20 01:45:41

Read LP format model from file C:\George\Professor\Pesquisa\Orientacoes em Pos-graduacao\2019 MSC PPGCC Guilherme Figueroa\Fanjuls Solver\Results\I_200_20_S_1-124_2_MTZ_KB.lp
Reading time = 5.56 seconds
: 48440 rows, 808201 columns, 3304020 nonzeros
Optimize a model with 48440 rows, 808201 columns and 3304020 nonzeros
Variable types: 4201 continuous, 804000 integer (804000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 2e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Presolve removed 0 rows and 0 columns (presolve time = 5s) ...
Presolve removed 0 rows and 0 columns (presolve time = 11s) ...
Presolve time: 10.89s
Presolved: 48440 rows, 808201 columns, 3304020 nonzeros
Variable types: 200 continuous, 808001 integer (808000 binary)
Found heuristic solution: objective 21862.000000
Found heuristic solution: objective 21813.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   4.000000e+02   0.000000e+00     31s
    3197    7.2897974e-05   4.323020e+03   0.000000e+00     35s
    4229    1.0183952e-04   1.585872e+03   0.000000e+00     40s
    5132    1.2719079e-04   4.326893e+03   0.000000e+00     45s
    6164    1.4863783e-04   1.844621e+04   0.000000e+00     51s
    7325    2.0148822e-04   1.312384e+04   0.000000e+00     55s
    8873    3.0764515e-04   3.756086e+03   0.000000e+00     60s
   10163    3.5267229e-04   2.609929e+03   0.000000e+00     65s
   11582    4.2453586e-04   5.022171e+03   0.000000e+00     71s
   12508    4.8935063e-04   6.348890e+03   0.000000e+00     76s
   13798    5.5743460e-04   6.876299e+03   0.000000e+00     81s
   14449    5.9288796e-04   1.414256e+04   0.000000e+00     87s
   15195    6.9373489e-04   1.579735e+03   0.000000e+00     91s
   16721    8.2879964e-04   9.759736e+02   0.000000e+00     95s
   18154    8.7607199e-04   5.413512e+03   0.000000e+00    101s
   19260    9.2389485e-04   3.248692e+03   0.000000e+00    105s
   20453    9.6824699e-04   4.425678e+03   0.000000e+00    110s
   21565    1.0134314e-03   3.199406e+03   0.000000e+00    116s
   22376    1.0393066e-03   5.832253e+03   0.000000e+00    122s
   23116    1.0665503e-03   4.146857e+03   0.000000e+00    127s
   23632    1.0843567e-03   3.637339e+03   0.000000e+00    130s
   24041    1.0967832e-03   5.560703e+03   0.000000e+00    137s
   24416    1.1098480e-03   6.308510e+03   0.000000e+00    142s
