Instance: I_250_30_S_1-49_1_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 1800; 1; 0; 0,9999

Solution value  = 19452
LB value  = -1E+100
Solution time = 1800,32190322876
Solution status = Time_Limit

Variable	value

Cmax	19452
Y_30_1	1
X_30_250_1	1
Y_30_2	1
X_30_249_2	1
Y_30_3	1
X_30_248_3	1
Y_30_4	1
X_30_247_4	1
Y_30_5	1
X_30_246_5	1
Y_30_6	1
X_30_245_6	1
Y_30_7	1
X_30_244_7	1
Y_30_8	1
X_30_243_8	1
Y_30_9	1
X_30_242_9	1
Y_30_10	1
X_30_241_10	1
Y_30_11	1
X_30_240_11	1
Y_30_12	1
X_30_239_12	1
Y_30_13	1
X_30_238_13	1
Y_30_14	1
X_30_237_14	1
Y_30_15	1
X_30_236_15	1
Y_30_16	1
X_30_235_16	1
Y_30_17	1
X_30_234_17	1
Y_30_18	1
X_30_233_18	1
Y_30_19	1
X_30_232_19	1
Y_30_20	1
X_30_231_20	1
Y_30_21	1
X_30_230_21	1
Y_30_22	1
X_30_229_22	1
Y_30_23	1
X_30_228_23	1
Y_30_24	1
X_30_227_24	1
Y_30_25	1
X_30_226_25	1
Y_30_26	1
X_30_225_26	1
Y_30_27	1
X_30_224_27	1
Y_30_28	1
X_30_223_28	1
Y_30_29	1
X_30_222_29	1
Y_30_30	1
X_30_221_30	1
Y_30_31	1
X_30_220_31	1
Y_30_32	1
X_30_219_32	1
Y_30_33	1
X_30_218_33	1
Y_30_34	1
X_30_217_34	1
Y_30_35	1
X_30_216_35	1
Y_30_36	1
X_30_215_36	1
Y_30_37	1
X_30_214_37	1
Y_30_38	1
X_30_213_38	1
Y_30_39	1
X_30_212_39	1
Y_30_40	1
X_30_211_40	1
Y_30_41	1
X_30_210_41	1
Y_30_42	1
X_30_209_42	1
Y_30_43	1
X_30_208_43	1
Y_30_44	1
X_30_207_44	1
Y_30_45	1
X_30_206_45	1
Y_30_46	1
X_30_205_46	1
Y_30_47	1
X_30_204_47	1
Y_30_48	1
X_30_203_48	1
Y_30_49	1
X_30_202_49	1
Y_30_50	1
X_30_201_50	1
Y_30_51	1
X_30_200_51	1
Y_30_52	1
X_30_199_52	1
Y_30_53	1
X_30_198_53	1
Y_30_54	1
X_30_197_54	1
Y_30_55	1
X_30_196_55	1
Y_30_56	1
X_30_195_56	1
Y_30_57	1
X_30_194_57	1
Y_30_58	1
X_30_193_58	1
Y_30_59	1
X_30_192_59	1
Y_30_60	1
X_30_191_60	1
Y_30_61	1
X_30_190_61	1
Y_30_62	1
X_30_189_62	1
Y_30_63	1
X_30_188_63	1
Y_30_64	1
X_30_187_64	1
Y_30_65	1
X_30_186_65	1
Y_30_66	1
X_30_185_66	1
Y_30_67	1
X_30_184_67	1
Y_30_68	1
X_30_183_68	1
Y_30_69	1
X_30_182_69	1
Y_30_70	1
X_30_181_70	1
Y_30_71	1
X_30_180_71	1
Y_30_72	1
X_30_179_72	1
Y_30_73	1
X_30_178_73	1
Y_30_74	1
X_30_177_74	1
Y_30_75	1
X_30_176_75	1
Y_30_76	1
X_30_175_76	1
Y_30_77	1
X_30_174_77	1
Y_30_78	1
X_30_173_78	1
Y_30_79	1
X_30_172_79	1
Y_30_80	1
X_30_171_80	1
Y_30_81	1
X_30_170_81	1
Y_30_82	1
X_30_169_82	1
Y_30_83	1
X_30_168_83	1
Y_30_84	1
X_30_167_84	1
Y_30_85	1
X_30_166_85	1
Y_30_86	1
X_30_165_86	1
Y_30_87	1
X_30_164_87	1
Y_30_88	1
X_30_163_88	1
Y_30_89	1
X_30_162_89	1
Y_30_90	1
X_30_161_90	1
Y_30_91	1
X_30_160_91	1
Y_30_92	1
X_30_159_92	1
Y_30_93	1
X_30_158_93	1
Y_30_94	1
X_30_157_94	1
Y_30_95	1
X_30_156_95	1
Y_30_96	1
X_30_155_96	1
Y_30_97	1
X_30_154_97	1
Y_30_98	1
X_30_153_98	1
Y_30_99	1
X_30_152_99	1
Y_30_100	1
X_30_151_100	1
Y_30_101	1
X_30_150_101	1
Y_30_102	1
X_30_149_102	1
Y_30_103	1
X_30_148_103	1
Y_30_104	1
X_30_147_104	1
Y_30_105	1
X_30_146_105	1
Y_30_106	1
X_30_145_106	1
Y_30_107	1
X_30_144_107	1
Y_30_108	1
X_30_143_108	1
Y_30_109	1
X_30_142_109	1
Y_30_110	1
X_30_141_110	1
Y_30_111	1
X_30_140_111	1
Y_30_112	1
X_30_139_112	1
Y_30_113	1
X_30_138_113	1
Y_30_114	1
X_30_137_114	1
Y_30_115	1
X_30_136_115	1
Y_30_116	1
X_30_135_116	1
Y_30_117	1
X_30_134_117	1
Y_30_118	1
X_30_133_118	1
Y_30_119	1
X_30_132_119	1
Y_30_120	1
X_30_131_120	1
Y_30_121	1
X_30_130_121	1
Y_30_122	1
X_30_129_122	1
Y_30_123	1
X_30_128_123	1
Y_30_124	1
X_30_127_124	1
Y_30_125	1
X_30_126_125	1
Y_30_126	1
X_30_0_126	1
