Instance: I_150_25_S_1-124_7_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 3600; 1; 0; 0,9999

Solution value  = 278
LB value  = 68
Solution time = 3600,27015304565
Solution status = Time_Limit

Variable	value

Cmax	278
Y_1_51	1
X_1_124_51	1
Y_1_65	1
X_1_135_65	1
Y_1_84	1
X_1_0_84	1
Y_1_117	1
X_1_84_117	1
Y_1_124	1
X_1_117_124	1
Y_1_135	1
X_1_51_135	1
Y_2_41	1
X_2_114_41	1
Y_2_70	1
X_2_147_70	1
Y_2_114	1
X_2_133_114	1
Y_2_116	1
X_2_41_116	1
Y_2_133	1
X_2_0_133	1
Y_2_147	1
X_2_116_147	1
Y_3_93	1
X_3_0_93	1
Y_3_98	1
X_3_144_98	1
Y_3_99	1
X_3_98_99	1
Y_3_121	1
X_3_93_121	1
Y_3_144	1
X_3_121_144	1
Y_4_59	1
X_4_141_59	1
Y_4_141	1
X_4_0_141	1
Y_5_23	1
X_5_101_23	1
Y_5_96	1
X_5_146_96	1
Y_5_101	1
X_5_96_101	1
Y_5_143	1
X_5_0_143	1
Y_5_146	1
X_5_143_146	1
Y_6_14	1
X_6_64_14	1
Y_6_15	1
X_6_68_15	1
Y_6_62	1
X_6_75_62	1
Y_6_64	1
X_6_76_64	1
Y_6_68	1
X_6_14_68	1
Y_6_75	1
X_6_15_75	1
Y_6_76	1
X_6_94_76	1
Y_6_94	1
X_6_0_94	1
Y_6_97	1
X_6_62_97	1
Y_7_50	1
X_7_115_50	1
Y_7_57	1
X_7_123_57	1
Y_7_92	1
X_7_0_92	1
Y_7_115	1
X_7_57_115	1
Y_7_123	1
X_7_132_123	1
Y_7_127	1
X_7_92_127	1
Y_7_132	1
X_7_149_132	1
Y_7_148	1
X_7_50_148	1
Y_7_149	1
X_7_127_149	1
Y_8_21	1
X_8_145_21	1
Y_8_33	1
X_8_138_33	1
Y_8_72	1
X_8_150_72	1
Y_8_78	1
X_8_72_78	1
Y_8_110	1
X_8_21_110	1
Y_8_138	1
X_8_0_138	1
Y_8_145	1
X_8_78_145	1
Y_8_150	1
X_8_33_150	1
Y_9_32	1
X_9_38_32	1
Y_9_38	1
X_9_0_38	1
Y_9_91	1
X_9_32_91	1
Y_10_5	1
X_10_61_5	1
Y_10_35	1
X_10_39_35	1
Y_10_39	1
X_10_48_39	1
Y_10_48	1
X_10_89_48	1
Y_10_49	1
X_10_105_49	1
Y_10_61	1
X_10_0_61	1
Y_10_89	1
X_10_5_89	1
Y_10_105	1
X_10_35_105	1
Y_11_4	1
X_11_52_4	1
Y_11_46	1
X_11_54_46	1
Y_11_52	1
X_11_77_52	1
Y_11_54	1
X_11_74_54	1
Y_11_66	1
X_11_83_66	1
Y_11_73	1
X_11_0_73	1
Y_11_74	1
X_11_73_74	1
Y_11_77	1
X_11_66_77	1
Y_11_83	1
X_11_46_83	1
Y_12_6	1
X_12_40_6	1
Y_12_7	1
X_12_86_7	1
Y_12_40	1
X_12_125_40	1
Y_12_86	1
X_12_95_86	1
Y_12_95	1
X_12_6_95	1
Y_12_104	1
X_12_7_104	1
Y_12_125	1
X_12_130_125	1
Y_12_130	1
X_12_0_130	1
Y_13_25	1
X_13_136_25	1
Y_13_26	1
X_13_67_26	1
Y_13_67	1
X_13_25_67	1
Y_13_136	1
X_13_0_136	1
Y_14_19	1
X_14_22_19	1
Y_14_22	1
X_14_119_22	1
Y_14_53	1
X_14_79_53	1
Y_14_79	1
X_14_134_79	1
Y_14_100	1
X_14_19_100	1
Y_14_119	1
X_14_140_119	1
Y_14_134	1
X_14_0_134	1
Y_14_140	1
X_14_53_140	1
Y_15_28	1
X_15_109_28	1
Y_15_63	1
X_15_0_63	1
Y_15_109	1
X_15_120_109	1
Y_15_120	1
X_15_63_120	1
Y_16_42	1
X_16_81_42	1
Y_16_44	1
X_16_0_44	1
Y_16_69	1
X_16_88_69	1
Y_16_81	1
X_16_69_81	1
Y_16_88	1
X_16_137_88	1
Y_16_137	1
X_16_142_137	1
Y_16_142	1
X_16_44_142	1
Y_17_3	1
X_17_31_3	1
