Instance: I_250_10_S_1-124_9_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 3600; 1; 0; 0,9999

Solution value  = 548
LB value  = 351,078632067238
Solution time = 3641,20112991333
Solution status = Time_Limit

Variable	value

Cmax	548
Y_1_1	1
X_1_137_1	1
Y_1_10	1
X_1_233_10	1
Y_1_26	1
X_1_99_26	1
Y_1_34	1
X_1_26_34	1
Y_1_37	1
X_1_112_37	1
Y_1_66	1
X_1_0_66	1
Y_1_67	1
X_1_228_67	1
Y_1_99	1
X_1_1_99	1
Y_1_104	1
X_1_134_104	1
Y_1_112	1
X_1_34_112	1
Y_1_120	1
X_1_37_120	1
Y_1_134	1
X_1_163_134	1
Y_1_137	1
X_1_183_137	1
Y_1_163	1
X_1_10_163	1
Y_1_183	1
X_1_67_183	1
Y_1_191	1
X_1_104_191	1
Y_1_197	1
X_1_120_197	1
Y_1_228	1
X_1_234_228	1
Y_1_233	1
X_1_197_233	1
Y_1_234	1
X_1_66_234	1
Y_2_6	1
X_2_184_6	1
Y_2_13	1
X_2_226_13	1
Y_2_17	1
X_2_76_17	1
Y_2_42	1
X_2_214_42	1
Y_2_54	1
X_2_63_54	1
Y_2_63	1
X_2_232_63	1
Y_2_64	1
X_2_170_64	1
Y_2_76	1
X_2_160_76	1
Y_2_93	1
X_2_17_93	1
Y_2_102	1
X_2_168_102	1
Y_2_127	1
X_2_13_127	1
Y_2_142	1
X_2_171_142	1
Y_2_160	1
X_2_6_160	1
Y_2_166	1
X_2_127_166	1
Y_2_168	1
X_2_0_168	1
Y_2_170	1
X_2_219_170	1
Y_2_171	1
X_2_42_171	1
Y_2_184	1
X_2_142_184	1
Y_2_200	1
X_2_54_200	1
Y_2_201	1
X_2_200_201	1
Y_2_203	1
X_2_166_203	1
Y_2_214	1
X_2_203_214	1
Y_2_219	1
X_2_201_219	1
Y_2_226	1
X_2_64_226	1
Y_2_232	1
X_2_102_232	1
Y_3_23	1
X_3_27_23	1
Y_3_27	1
X_3_143_27	1
Y_3_43	1
X_3_90_43	1
Y_3_48	1
X_3_176_48	1
Y_3_68	1
X_3_209_68	1
Y_3_81	1
X_3_132_81	1
Y_3_90	1
X_3_129_90	1
Y_3_108	1
X_3_205_108	1
Y_3_116	1
X_3_222_116	1
Y_3_129	1
X_3_68_129	1
Y_3_132	1
X_3_48_132	1
Y_3_143	1
X_3_250_143	1
Y_3_153	1
X_3_212_153	1
Y_3_176	1
X_3_43_176	1
Y_3_199	1
X_3_210_199	1
Y_3_205	1
X_3_231_205	1
Y_3_209	1
X_3_153_209	1
Y_3_210	1
X_3_23_210	1
Y_3_212	1
X_3_116_212	1
Y_3_216	1
X_3_108_216	1
Y_3_222	1
X_3_216_222	1
Y_3_231	1
X_3_199_231	1
Y_3_250	1
X_3_0_250	1
Y_4_21	1
X_4_29_21	1
Y_4_24	1
X_4_236_24	1
Y_4_29	1
X_4_60_29	1
Y_4_35	1
X_4_164_35	1
Y_4_50	1
X_4_59_50	1
Y_4_57	1
X_4_92_57	1
Y_4_59	1
X_4_242_59	1
Y_4_60	1
X_4_35_60	1
Y_4_62	1
X_4_24_62	1
Y_4_74	1
X_4_57_74	1
Y_4_75	1
X_4_230_75	1
Y_4_92	1
X_4_133_92	1
Y_4_113	1
X_4_21_113	1
Y_4_133	1
X_4_62_133	1
Y_4_164	1
X_4_241_164	1
Y_4_179	1
X_4_180_179	1
Y_4_180	1
X_4_0_180	1
Y_4_230	1
X_4_74_230	1
Y_4_236	1
X_4_179_236	1
Y_4_241	1
X_4_50_241	1
Y_4_242	1
X_4_75_242	1
Y_4_249	1
X_4_113_249	1
Y_5_5	1
X_5_245_5	1
Y_5_11	1
X_5_152_11	1
Y_5_14	1
X_5_11_14	1
Y_5_16	1
X_5_194_16	1
Y_5_30	1
X_5_16_30	1
Y_5_41	1
X_5_138_41	1
Y_5_49	1
X_5_135_49	1
Y_5_91	1
X_5_5_91	1
Y_5_103	1
X_5_189_103	1
Y_5_111	1
X_5_174_111	1
Y_5_115	1
X_5_162_115	1
Y_5_135	1
X_5_247_135	1
Y_5_138	1
X_5_49_138	1
Y_5_139	1
X_5_181_139	1
Y_5_152	1
X_5_0_152	1
Y_5_162	1
X_5_14_162	1
Y_5_169	1
X_5_139_169	1
Y_5_172	1
X_5_41_172	1
Y_5_174	1
X_5_115_174	1
Y_5_177	1
X_5_172_177	1
Y_5_181	1
X_5_91_181	1
Y_5_188	1
X_5_103_188	1
Y_5_189	1
X_5_177_189	1
Y_5_194	1
X_5_227_194	1
Y_5_227	1
X_5_188_227	1
Y_5_245	1
X_5_111_245	1
Y_5_247	1
X_5_169_247	1
Y_6_4	1
X_6_208_4	1
Y_6_12	1
X_6_0_12	1
Y_6_22	1
X_6_84_22	1
Y_6_32	1
X_6_53_32	1
Y_6_40	1
X_6_46_40	1
Y_6_46	1
X_6_89_46	1
Y_6_47	1
X_6_224_47	1
Y_6_53	1
X_6_225_53	1
Y_6_55	1
X_6_72_55	1
Y_6_71	1
X_6_217_71	1
Y_6_72	1
X_6_12_72	1
Y_6_84	1
X_6_4_84	1
Y_6_89	1
X_6_246_89	1
Y_6_101	1
X_6_71_101	1
Y_6_123	1
X_6_55_123	1
Y_6_147	1
X_6_237_147	1
Y_6_159	1
X_6_215_159	1
Y_6_193	1
X_6_243_193	1
Y_6_196	1
X_6_47_196	1
Y_6_208	1
X_6_193_208	1
Y_6_215	1
X_6_22_215	1
Y_6_217	1
X_6_123_217	1
Y_6_224	1
X_6_238_224	1
Y_6_225	1
X_6_147_225	1
Y_6_237	1
X_6_196_237	1
Y_6_238	1
X_6_159_238	1
Y_6_243	1
X_6_101_243	1
Y_6_246	1
X_6_32_246	1
Y_7_2	1
X_7_28_2	1
Y_7_19	1
X_7_83_19	1
Y_7_20	1
X_7_77_20	1
Y_7_28	1
X_7_161_28	1
Y_7_45	1
X_7_0_45	1
Y_7_77	1
X_7_100_77	1
Y_7_83	1
X_7_157_83	1
Y_7_94	1
X_7_98_94	1
Y_7_96	1
X_7_45_96	1
Y_7_98	1
X_7_156_98	1
Y_7_100	1
X_7_94_100	1
Y_7_119	1
X_7_128_119	1
Y_7_124	1
X_7_96_124	1
Y_7_128	1
X_7_165_128	1
Y_7_141	1
X_7_235_141	1
Y_7_144	1
X_7_19_144	1
Y_7_156	1
X_7_244_156	1
Y_7_157	1
X_7_167_157	1
Y_7_161	1
X_7_198_161	1
Y_7_165	1
X_7_144_165	1
Y_7_167	1
X_7_218_167	1
Y_7_198	1
X_7_119_198	1
Y_7_207	1
X_7_141_207	1
Y_7_218	1
X_7_124_218	1
Y_7_235	1
X_7_2_235	1
Y_7_244	1
X_7_207_244	1
Y_8_9	1
X_8_69_9	1
Y_8_36	1
X_8_229_36	1
Y_8_38	1
X_8_65_38	1
Y_8_39	1
X_8_38_39	1
Y_8_52	1
X_8_213_52	1
Y_8_65	1
X_8_173_65	1
Y_8_69	1
X_8_145_69	1
Y_8_95	1
X_8_178_95	1
Y_8_105	1
X_8_248_105	1
Y_8_107	1
X_8_190_107	1
Y_8_118	1
X_8_52_118	1
Y_8_121	1
X_8_118_121	1
Y_8_125	1
X_8_240_125	1
Y_8_136	1
X_8_36_136	1
Y_8_145	1
X_8_39_145	1
Y_8_148	1
X_8_105_148	1
Y_8_150	1
X_8_0_150	1
Y_8_173	1
X_8_150_173	1
Y_8_178	1
X_8_125_178	1
Y_8_187	1
X_8_107_187	1
Y_8_190	1
X_8_9_190	1
Y_8_213	1
X_8_187_213	1
Y_8_229	1
X_8_121_229	1
Y_8_240	1
X_8_148_240	1
Y_8_248	1
X_8_136_248	1
Y_9_3	1
X_9_82_3	1
Y_9_7	1
X_9_44_7	1
Y_9_25	1
X_9_70_25	1
Y_9_33	1
X_9_223_33	1
Y_9_44	1
X_9_33_44	1
Y_9_56	1
X_9_3_56	1
Y_9_61	1
X_9_87_61	1
Y_9_70	1
X_9_126_70	1
Y_9_73	1
X_9_175_73	1
Y_9_82	1
X_9_114_82	1
Y_9_85	1
X_9_106_85	1
Y_9_87	1
X_9_7_87	1
Y_9_106	1
X_9_56_106	1
Y_9_110	1
X_9_239_110	1
Y_9_114	1
X_9_186_114	1
Y_9_117	1
X_9_110_117	1
Y_9_126	1
X_9_192_126	1
Y_9_154	1
X_9_85_154	1
Y_9_175	1
X_9_185_175	1
Y_9_182	1
X_9_61_182	1
Y_9_185	1
X_9_25_185	1
Y_9_186	1
X_9_73_186	1
Y_9_192	1
X_9_117_192	1
Y_9_211	1
X_9_0_211	1
Y_9_223	1
X_9_154_223	1
Y_9_239	1
X_9_211_239	1
Y_10_8	1
X_10_140_8	1
Y_10_15	1
X_10_206_15	1
Y_10_18	1
X_10_202_18	1
Y_10_31	1
X_10_88_31	1
Y_10_51	1
X_10_130_51	1
Y_10_58	1
X_10_149_58	1
Y_10_78	1
X_10_155_78	1
Y_10_79	1
X_10_80_79	1
Y_10_80	1
X_10_31_80	1
Y_10_86	1
X_10_79_86	1
Y_10_88	1
X_10_58_88	1
Y_10_97	1
X_10_131_97	1
Y_10_109	1
X_10_146_109	1
Y_10_122	1
X_10_8_122	1
Y_10_130	1
X_10_221_130	1
Y_10_131	1
X_10_158_131	1
Y_10_140	1
X_10_151_140	1
Y_10_146	1
X_10_122_146	1
Y_10_149	1
X_10_220_149	1
Y_10_151	1
X_10_15_151	1
Y_10_155	1
X_10_0_155	1
Y_10_158	1
X_10_109_158	1
Y_10_195	1
X_10_204_195	1
Y_10_202	1
X_10_86_202	1
Y_10_204	1
X_10_78_204	1
Y_10_206	1
X_10_195_206	1
Y_10_220	1
X_10_97_220	1
Y_10_221	1
X_10_18_221	1
X_1_191_0	1
X_2_93_0	1
X_3_81_0	1
X_4_249_0	1
X_5_30_0	1
X_6_40_0	1
X_7_20_0	1
X_8_95_0	1
X_9_182_0	1
X_10_51_0	1
U_1	5,99999999999983
U_2	239,000000000004
U_3	238
U_4	9,99999999999591
U_5	7,99999999999829
U_6	245
U_7	246
U_8	7,9999999999967
U_9	6,9999999999989
U_10	14,999999999999
U_11	0,999999999999375
U_13	10,9999999999988
U_14	1,99999999999829
U_15	4,9999999999967
U_16	248,000000000001
U_17	248
U_18	246
U_19	6,99999999999568
U_20	249
U_21	247
U_22	11,9999999999959
U_23	2,9999999999992
U_24	2,99999999999494
U_25	6,99999999999915
U_26	7,99999999999983
U_27	1,9999999999992
U_28	238,000000000004
U_29	246,000000000001
U_30	249,000000000001
U_31	241
U_32	22,9999999999959
U_33	244
U_34	8,99999999999983
U_35	244
U_36	15,9999999999982
U_37	10,9999999999998
U_38	2,99999999999889
U_39	3,99999999999889
U_40	26,9999999999959
U_41	240,000000000002
U_42	241
U_43	245
U_44	245
U_46	25,9999999999959
U_47	16,9999999999959
U_48	247
U_49	238,000000000014
U_50	12,9999999999949
U_51	249
U_52	11,9999999999982
U_53	21,9999999999959
U_54	3,99999999999901
U_55	1,99999999999812
U_56	239
U_57	6,99999999999494
U_58	239
U_59	11,9999999999949
U_60	245
U_61	248
U_62	3,99999999999494
U_63	2,99999999999918
U_64	8,99999999999878
U_65	1,99999999999889
U_67	2,99999999999983
U_68	242
U_69	5,9999999999989
U_70	5,99999999999915
U_71	4,99999999999591
U_72	0,999999999998863
U_73	9,99999999999915
U_74	7,99999999999494
U_75	9,99999999999494
U_76	247
U_77	248,000000000001
U_78	0,999999999999034
U_79	243
U_80	242
U_81	249
U_82	237
U_83	5,99999999999682
U_84	10,9999999999959
U_85	241
U_86	244
U_87	247
U_88	240
U_89	24,9999999999959
U_90	244
U_91	8,99999999999829
U_92	5,99999999999494
U_93	249
U_94	246,000000000002
U_95	249,000000000001
U_96	0,999999999999261
U_97	236
U_98	245,000000000001
U_99	6,99999999999983
U_100	247,000000000002
U_101	5,99999999999591
U_102	0,999999999999375
U_103	244,000000000002
U_104	17,999999999999
U_105	244,000000000002
U_106	240
U_107	8,99999999999815
U_108	235
U_109	10,9999999999967
U_110	1,99999999999926
U_111	5,99999999999829
U_112	9,99999999999983
U_113	248
U_114	11,9999999999991
U_115	3,99999999999829
U_116	238
U_117	2,99999999999915
U_118	12,9999999999982
U_119	10,99999999999
U_120	11,9999999999998
U_121	13,9999999999982
U_122	8,9999999999967
U_123	2,99999999999716
U_124	1,99999999999841
U_125	247,000000000002
U_126	4,99999999999915
U_127	11,9999999999985
U_128	9,99999999999108
U_129	243
U_130	248
U_131	235
U_132	248
U_133	4,99999999999494
U_134	16,999999999999
U_135	13,9999999999983
U_136	16,9999999999982
U_137	4,99999999999983
U_138	239,000000000002
U_139	10,9999999999983
U_140	6,9999999999967
U_141	241,000000000003
U_142	243
U_143	0,999999999999204
U_144	7,99999999999386
U_145	4,99999999999889
U_146	9,9999999999967
U_147	19,9999999999959
U_148	245,000000000002
U_149	238
U_151	5,9999999999967
U_153	240
U_154	242
U_156	244,000000000001
U_157	4,99999999999813
U_158	234
U_159	13,9999999999959
U_160	246
U_161	237,000000000004
U_162	2,99999999999829
U_163	15,999999999999
U_164	243
U_165	8,99999999999278
U_166	12,9999999999982
U_167	3,99999999999739
U_169	11,9999999999983
U_170	7,99999999999878
U_171	242
U_172	241,000000000002
U_173	0,999999999999545
U_174	4,99999999999829
U_175	8,99999999999915
U_176	246
U_177	242,000000000002
U_178	248,000000000002
U_179	0,999999999999375
U_181	9,99999999999829
U_182	249
U_183	3,99999999999983
U_184	244
U_185	7,99999999999915
U_186	10,9999999999991
U_187	9,99999999999815
U_188	245,000000000002
U_189	243,000000000002
U_190	7,99999999999815
U_191	18,999999999999
U_192	3,99999999999915
U_193	7,99999999999591
U_194	247,000000000002
U_195	2,99999999999818
U_196	17,9999999999959
U_197	12,9999999999994
U_198	236,000000000004
U_199	4,9999999999992
U_200	4,99999999999883
U_201	5,99999999999883
U_202	245
U_203	13,9999999999982
U_204	1,99999999999829
U_205	234
U_206	3,99999999999784
U_207	242,000000000001
U_208	8,99999999999591
U_209	241
U_210	3,9999999999992
U_212	239
U_213	10,9999999999982
U_214	14,9999999999982
U_215	12,9999999999959
U_216	236
U_217	3,99999999999602
U_218	2,99999999999886
U_219	6,99999999999883
U_220	237
U_221	247
U_222	237
U_223	243
U_224	15,9999999999959
U_225	20,9999999999959
U_226	9,99999999999878
U_227	246,000000000002
U_228	1,99999999999983
U_229	14,9999999999982
U_230	8,99999999999494
U_231	5,9999999999992
U_232	1,99999999999932
U_233	13,999999999999
U_234	0,999999999999829
U_235	240,000000000002
U_236	1,99999999999494
U_237	18,9999999999959
U_238	14,9999999999959
U_239	0,999999999999261
U_240	246,000000000002
U_241	242
U_242	10,9999999999949
U_243	6,99999999999591
U_244	243
U_245	6,99999999999829
U_246	23,9999999999959
U_247	12,9999999999983
U_248	243,000000000002
U_249	249
