
Gurobi 7.0.2 (win64) logging started 06/27/20 09:18:54

Read LP format model from file C:\George\Professor\Pesquisa\Orientacoes em Pos-graduacao\2019 MSC PPGCC Guilherme Figueroa\Fanjuls Solver\Results\I_250_20_S_1-49_9_MTZ_KB.lp
Reading time = 9.45 seconds
: 73040 rows, 1260251 columns, 5155020 nonzeros
Optimize a model with 73040 rows, 1260251 columns and 5155020 nonzeros
Variable types: 5251 continuous, 1255000 integer (1255000 binary)
Coefficient statistics:
  Matrix range     [1e+00, 3e+02]
  Objective range  [1e+00, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 2e+02]
Presolve removed 0 rows and 0 columns (presolve time = 6s) ...
Presolve removed 0 rows and 0 columns (presolve time = 10s) ...
Presolve removed 0 rows and 0 columns (presolve time = 17s) ...
Presolve time: 19.49s
Presolved: 73040 rows, 1260251 columns, 5155020 nonzeros
Variable types: 250 continuous, 1260001 integer (1260000 binary)
Found heuristic solution: objective 19486.000000

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0    0.0000000e+00   5.000000e+02   0.000000e+00     52s
    2807    6.1373763e-05   6.552728e+03   0.000000e+00     55s
    4771    2.7977384e-04   2.946665e+03   0.000000e+00     60s
    6166    3.7339322e-04   4.945684e+03   0.000000e+00     65s
    7716    4.9859643e-04   7.268935e+03   0.000000e+00     70s
    8334    5.7791021e-04   1.423537e+04   0.000000e+00     75s
    9178    6.8407177e-04   5.060257e+03   0.000000e+00     81s
   10179    7.9713264e-04   4.688207e+03   0.000000e+00     85s
   11165    8.8218072e-04   3.594768e+03   0.000000e+00     90s
   11915    9.3382256e-04   4.461479e+03   0.000000e+00     95s
   12390    9.6627245e-04   7.685718e+03   0.000000e+00    104s
   12599    9.8185199e-04   1.279922e+04   0.000000e+00    107s
   13185    1.0084771e-03   7.170051e+03   0.000000e+00    120s
   13953    1.0574804e-03   6.490489e+03   0.000000e+00    128s
   14311    1.0801789e-03   1.041891e+04   0.000000e+00    133s
   14722    1.1072705e-03   1.465520e+04   0.000000e+00    139s
   15042    1.1236326e-03   2.451333e+04   0.000000e+00    143s
   15428    1.1368383e-03   5.465807e+03   0.000000e+00    150s
   15747    1.1498572e-03   9.850410e+03   0.000000e+00    155s
   16063    1.1553129e-03   1.337221e+04   0.000000e+00    160s
   16709    1.1769733e-03   5.897528e+03   0.000000e+00    168s
   16996    1.1854825e-03   2.001560e+04   0.000000e+00    174s
   17239    1.1926178e-03   6.450169e+03   0.000000e+00    176s
   17428    1.2021811e-03   9.546034e+03   0.000000e+00    181s
   17867    1.2182020e-03   7.373809e+03   0.000000e+00    189s
   18089    1.2248301e-03   6.127953e+03   0.000000e+00    191s
   18399    1.2414351e-03   5.640269e+03   0.000000e+00    198s
   18590    1.2462504e-03   5.423937e+03   0.000000e+00    201s
   18745    1.2517892e-03   5.434803e+03   0.000000e+00    205s
   19520    1.2746851e-03   5.855835e+03   0.000000e+00    211s
   20022    1.2980686e-03   1.089371e+04   0.000000e+00    219s
   20204    1.3039308e-03   8.946785e+03   0.000000e+00    221s
   20467    1.3199722e-03   5.385034e+03   0.000000e+00    228s
   20790    1.3328315e-03   1.005103e+04   0.000000e+00    235s
   21114    1.3441444e-03   6.093196e+04   0.000000e+00    243s
   21402    1.3604029e-03   5.760990e+04   0.000000e+00    247s
   22128    1.3934217e-03   1.291429e+04   0.000000e+00    254s
   22522    1.4145374e-03   1.100737e+04   0.000000e+00    260s
   23185    1.4437868e-03   8.277361e+03   0.000000e+00    267s
   23414    1.4499008e-03   9.520063e+03   0.000000e+00    270s
   23882    1.4641407e-03   1.127101e+04   0.000000e+00    278s
   24317    1.4760332e-03   1.431782e+04   0.000000e+00    285s
   25593    1.5114390e-03   1.926216e+04   0.000000e+00    294s
   25828    1.5198675e-03   1.672315e+04   0.000000e+00    296s
   26447    1.5509906e-03   6.728478e+03   0.000000e+00    305s
   26602    1.5561054e-03   4.465611e+03   0.000000e+00    305s
   27219    1.5844948e-03   7.165345e+03   0.000000e+00    312s
   27560    1.6070432e-03   7.348947e+03   0.000000e+00    318s
   27937    1.6231300e-03   4.070253e+03   0.000000e+00    327s
   28522    1.6424863e-03   4.266189e+03   0.000000e+00    333s
   29115    1.6760574e-03   3.849785e+03   0.000000e+00    338s
   29787    1.7120488e-03   4.498177e+03   0.000000e+00    348s
   30131    1.7305250e-03   6.174165e+03   0.000000e+00    351s
   30793    1.7554467e-03   4.850347e+03   0.000000e+00    358s
   31077    1.7686723e-03   3.556255e+03   0.000000e+00    361s
   31641    1.7877650e-03   7.773605e+03   0.000000e+00    369s
   31817    1.7962163e-03   6.462221e+03   0.000000e+00    371s
   32090    1.8105933e-03   1.314003e+04   0.000000e+00    377s
   32255    1.8174478e-03   6.961576e+03   0.000000e+00    380s
   32507    1.8269331e-03   5.951386e+03   0.000000e+00    385s
   32948    1.8407448e-03   1.266770e+04   0.000000e+00    390s
   33234    1.8529600e-03   3.369825e+03   0.000000e+00    397s
   34098    1.8833268e-03   4.268939e+03   0.000000e+00    402s
   34641    1.9061322e-03   4.026422e+03   0.000000e+00    407s
   35068    1.9280366e-03   5.869262e+03   0.000000e+00    415s
   35388    1.9388759e-03   5.979449e+03   0.000000e+00    415s
   35846    1.9601195e-03   4.001693e+03   0.000000e+00    424s
   36040    1.9683272e-03   7.967753e+03   0.000000e+00    427s
   36246    1.9772691e-03   9.434089e+03   0.000000e+00    432s
   36435    1.9828339e-03   8.916576e+03   0.000000e+00    437s
   36669    1.9916287e-03   1.041099e+04   0.000000e+00    444s
   36897    2.0037834e-03   1.108304e+04   0.000000e+00    449s
   37168    2.0171167e-03   7.552361e+03   0.000000e+00    456s
   37572    2.0332282e-03   9.949598e+03   0.000000e+00    462s
   37759    2.0409525e-03   1.040629e+04   0.000000e+00    465s
   38277    2.0777535e-03   8.361857e+03   0.000000e+00    474s
   38466    2.0869585e-03   7.495750e+03   0.000000e+00    476s
   38903    2.1086405e-03   1.045708e+04   0.000000e+00    486s
   39465    2.1484728e-03   4.998439e+03   0.000000e+00    491s
   39693    2.1616151e-03   1.183634e+04   0.000000e+00    495s
   40376    2.1928515e-03   1.564393e+04   0.000000e+00    501s
   40886    2.2224397e-03   5.924595e+03   0.000000e+00    506s
   41318    2.2433797e-03   1.788537e+04   0.000000e+00    511s
   42036    2.2802032e-03   5.725432e+03   0.000000e+00    516s
   42899    2.3433128e-03   1.687135e+04   0.000000e+00    521s
   43810    2.3840115e-03   1.275948e+04   0.000000e+00    528s
   44352    2.4124465e-03   9.989014e+03   0.000000e+00    531s
   45149    2.4681140e-03   9.199846e+03   0.000000e+00    536s
   45693    2.5012449e-03   7.092945e+03   0.000000e+00    540s
   46262    2.5399504e-03   8.214116e+03   0.000000e+00    546s
   46520    2.5554874e-03   4.023359e+04   0.000000e+00    550s
   46850    2.5722593e-03   1.044461e+04   0.000000e+00    555s
   48226    2.6478659e-03   2.638264e+04   0.000000e+00    564s
   48417    2.6614223e-03   2.238753e+04   0.000000e+00    567s
   49060    2.7004946e-03   9.999819e+03   0.000000e+00    571s
   49281    2.7151439e-03   1.386734e+04   0.000000e+00    577s
   50552    2.8040197e-03   2.096231e+04   0.000000e+00    586s
   51453    2.8704871e-03   2.234217e+04   0.000000e+00    592s
   51941    2.9009513e-03   1.890091e+04   0.000000e+00    597s
   52445    2.9529186e-03   5.205759e+04   0.000000e+00    602s
   52882    2.9853042e-03   4.323968e+04   0.000000e+00    609s
   53101    3.0042141e-03   1.890277e+04   0.000000e+00    611s
   53749    3.0578009e-03   7.166833e+04   0.000000e+00    618s
   54209    3.1116075e-03   4.499053e+04   0.000000e+00    624s
   55176    3.2445990e-03   2.666391e+04   0.000000e+00    626s
   55432    3.2680223e-03   1.612722e+04   0.000000e+00    631s
   56090    3.3244275e-03   2.983653e+04   0.000000e+00    636s
   57829    3.5377451e-03   2.326175e+04   0.000000e+00    646s
   58318    3.5908137e-03   1.743645e+04   0.000000e+00    651s
   59574    3.7065676e-03   1.370224e+04   0.000000e+00    655s
   60147    3.7687932e-03   2.739484e+04   0.000000e+00    663s
   60412    3.7978692e-03   1.488720e+04   0.000000e+00    666s
   61810    3.9655810e-03   1.673224e+04   0.000000e+00    670s
   63197    4.1365665e-03   4.434687e+04   0.000000e+00    677s
   63450    4.1715432e-03   3.160401e+04   0.000000e+00    683s
   64184    4.2476457e-03   4.367652e+04   0.000000e+00    688s
   64437    4.2713948e-03   2.715142e+04   0.000000e+00    693s
   64961    4.3640793e-03   1.305595e+05   0.000000e+00    697s
   65786    4.5266242e-03   2.484369e+05   0.000000e+00    700s
   68536    5.1343107e-03   1.019442e+05   0.000000e+00    708s
   69282    5.4073193e-03   3.871807e+04   0.000000e+00    710s
   71535    5.9510095e-03   3.906736e+04   0.000000e+00    716s
   73536    6.6584684e-03   6.259523e+04   0.000000e+00    720s
   78100    9.7821447e-03   8.192317e+04   0.000000e+00    725s
   82313    1.5763759e-02   1.540159e+05   0.000000e+00    730s
   87930    7.1870071e+01   2.914203e+04   0.000000e+00    735s
   90009    8.0178375e+01   6.175635e+03   0.000000e+00    740s
   92209    8.5908295e+01   2.571360e+03   0.000000e+00    746s
   93978    8.8380953e+01   1.073197e+04   0.000000e+00    750s
   95402    9.0218286e+01   9.852326e+03   0.000000e+00    756s
   96910    9.1913538e+01   3.865815e+03   0.000000e+00    761s
   98147    9.2956721e+01   3.449289e+03   0.000000e+00    765s
   99622    9.4884322e+01   3.599777e+03   0.000000e+00    770s
  100713    9.5496459e+01   2.306958e+03   0.000000e+00    776s
  102022    9.6913508e+01   2.155002e+03   0.000000e+00    782s
  102766    9.7414259e+01   2.064536e+03   0.000000e+00    787s
  103459    9.8129729e+01   3.727148e+03   0.000000e+00    793s
  103717    9.8245863e+01   2.944788e+03   0.000000e+00    795s
  104681    9.8744812e+01   9.104710e+03   0.000000e+00    802s
  105260    9.9046677e+01   2.659397e+03   0.000000e+00    808s
  105527    9.9270410e+01   1.475132e+03   0.000000e+00    811s
  106202    9.9758855e+01   4.439331e+03   0.000000e+00    815s
  107170    1.0024938e+02   3.131018e+03   0.000000e+00    823s
  107494    1.0037295e+02   2.295578e+03   0.000000e+00    825s
  108386    1.0105022e+02   5.656539e+03   0.000000e+00    832s
  108963    1.0152169e+02   2.411838e+03   0.000000e+00    837s
  109599    1.0172489e+02   2.301067e+03   0.000000e+00    843s
  109820    1.0185915e+02   2.756814e+03   0.000000e+00    846s
  110328    1.0205281e+02   4.720912e+03   0.000000e+00    853s
  110565    1.0212839e+02   7.054454e+03   0.000000e+00    855s
  111120    1.0232387e+02   9.750641e+03   0.000000e+00    860s
  111693    1.0244032e+02   3.179002e+03   0.000000e+00    867s
  112002    1.0250670e+02   1.567643e+03   0.000000e+00    871s
  112630    1.0264318e+02   1.356836e+03   0.000000e+00    879s
  112883    1.0271756e+02   1.544487e+03   0.000000e+00    882s
  113414    1.0283365e+02   2.780707e+03   0.000000e+00    888s
  113763    1.0287249e+02   1.486109e+03   0.000000e+00    892s
