Instance: I_50_30_S_1-9_4_MTZ_KB.lp
Solver : Gurobi

Solver Settings (Time_Limit; Threads; MipGap; AbsMipGap) : 3600; 1; 0; 0,9999

Solution value  = 16
LB value  = 16
Solution time = 106,425300598145
Solution status = Optimal

Variable	value

Cmax	16
Y_1_33	1
X_1_41_33	1
Y_1_41	1
X_1_0_41	1
Y_2_17	1
X_2_0_17	1
Y_3_23	1
X_3_0_23	1
Y_3_38	1
X_3_23_38	1
Y_4_48	1
X_4_0_48	1
Y_5_24	1
X_5_0_24	1
Y_6_37	1
X_6_0_37	1
Y_6_43	1
X_6_37_43	1
Y_7_32	1
X_7_44_32	1
Y_7_44	1
X_7_0_44	1
Y_7_45	1
X_7_32_45	1
Y_8_2	1
X_8_0_2	1
Y_8_34	1
X_8_2_34	1
Y_9_3	1
X_9_0_3	1
Y_9_14	1
X_9_3_14	1
Y_9_39	1
X_9_14_39	1
Y_10_15	1
X_10_0_15	1
Y_11_25	1
X_11_0_25	1
Y_12_1	1
X_12_36_1	1
Y_12_36	1
X_12_0_36	1
Y_13_29	1
X_13_0_29	1
Y_14_26	1
X_14_0_26	1
Y_15_9	1
X_15_21_9	1
Y_15_21	1
X_15_0_21	1
Y_16_27	1
X_16_49_27	1
Y_16_49	1
X_16_0_49	1
Y_17_6	1
X_17_0_6	1
Y_17_20	1
X_17_6_20	1
Y_18_4	1
X_18_0_4	1
Y_18_30	1
X_18_4_30	1
Y_19_8	1
X_19_0_8	1
Y_20_11	1
X_20_0_11	1
Y_21_5	1
X_21_28_5	1
Y_21_28	1
X_21_0_28	1
Y_22_7	1
X_22_0_7	1
Y_23_10	1
X_23_22_10	1
Y_23_22	1
X_23_0_22	1
Y_24_31	1
X_24_42_31	1
Y_24_42	1
X_24_0_42	1
Y_25_35	1
X_25_0_35	1
Y_25_47	1
X_25_35_47	1
Y_26_12	1
X_26_0_12	1
Y_26_18	1
X_26_12_18	1
Y_27_40	1
X_27_0_40	1
Y_28_46	1
X_28_0_46	1
Y_29_19	1
X_29_0_19	1
Y_30_13	1
X_30_16_13	1
Y_30_16	1
X_30_50_16	1
Y_30_50	1
X_30_0_50	1
X_1_33_0	1
X_2_17_0	1
X_3_38_0	1
X_4_48_0	1
X_5_24_0	1
X_6_43_0	1
X_7_45_0	1
X_8_34_0	1
X_9_39_0	1
X_10_15_0	1
X_11_25_0	1
X_12_1_0	1
X_13_29_0	1
X_14_26_0	1
X_15_9_0	1
X_16_27_0	1
X_17_20_0	1
X_18_30_0	1
X_19_8_0	1
X_20_11_0	1
X_21_5_0	1
X_22_7_0	1
X_23_10_0	1
X_24_31_0	1
X_25_47_0	1
X_26_18_0	1
X_27_40_0	1
X_28_46_0	1
X_29_19_0	1
X_30_13_0	1
U_1	49,0000000000001
U_5	0,999999999999915
U_7	0,999999999999986
U_8	1
U_9	49
U_10	49
U_13	49
U_14	0,999999999999972
U_16	1
U_18	1
U_20	49
U_24	1,00000000000007
U_26	1,00000000000007
U_27	49,0000000000001
U_30	49
U_31	1
U_32	0,999999999999915
U_33	49
U_34	0,999999999999929
U_38	49
U_39	1,99999999999991
U_43	49
U_45	1,99999999999979
U_47	49,0000000000001
U_48	1
